SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -677.624 11.594 -2.072 -22.228 -1.443 -15.474 -1.004 937.668 1540.483 602.816 9.0 0.147 1.206 0.45 -3.687 -1468.413 294.874 3.275 130.829 406.086 -11.685 164.581 0.221 -7.82 -14.363 -20.505 -205.914 3.0 327.0 37.0 107.162 -7.442 0.0 -0.883 3.072 -28.277 -21.2 0.0 0.0 -0.782 -21.119 -1.156 -11.564 c.2.1
SCORE: -682.146 11.667 -2.086 -26.002 -1.839 -21.09 -1.491 860.289 1414.216 553.927 12.0 0.147 1.183 0.449 -3.676 -1473.733 294.046 3.294 130.435 410.047 -11.929 161.179 0.232 -11.282 -13.375 -17.742 -206.051 4.0 327.0 40.0 107.371 -6.384 0.0 -0.771 3.053 -27.978 -21.2 0.0 0.0 -0.656 -19.665 -1.118 -11.179 c.2.10
SCORE: -675.133 11.562 -2.065 -19.209 -1.363 -17.302 -1.228 869.523 1408.886 539.363 11.0 0.146 1.166 0.451 -3.653 -1468.363 293.3 3.681 130.549 409.926 -11.511 160.532 0.206 -9.271 -13.658 -17.771 -206.331 3.0 327.0 37.0 107.285 -5.575 0.0 -0.651 3.046 -27.882 -21.2 0.0 0.0 -0.654 -17.649 -0.645 -6.448 c.2.100
SCORE: -667.758 11.788 -2.042 -26.175 -1.665 -6.017 -0.383 1036.926 1571.901 534.975 6.0 0.147 1.188 0.45 -3.679 -1477.618 297.99 4.026 130.791 410.557 -11.878 173.89 0.471 -8.614 -13.595 -18.786 -205.996 2.0 327.0 44.0 107.443 -8.001 0.0 -0.438 3.069 -27.942 -21.2 0.0 0.0 -0.245 -8.325 -1.093 -10.925 c.2.1000
SCORE: -670.884 11.758 -2.052 -23.43 -1.561 -11.683 -0.779 1014.239 1500.572 486.333 13.0 0.146 1.193 0.454 -3.676 -1470.372 297.082 3.677 131.065 407.846 -11.69 166.013 0.153 -9.563 -12.79 -18.716 -206.039 2.0 327.0 38.0 107.54 -6.65 0.0 -0.514 3.043 -28.251 -21.2 0.0 0.0 -0.423 -11.832 -0.771 -7.707 c.2.1001
SCORE: -672.147 11.625 -2.055 -29.196 -1.775 -15.858 -0.964 1113.905 1645.061 531.155 8.0 0.148 1.176 0.444 -3.654 -1478.295 299.79 3.281 130.864 409.753 -11.986 167.84 0.305 -9.606 -13.686 -19.547 -206.081 4.0 327.0 42.0 108.268 -5.724 0.0 -0.493 3.193 -27.125 -21.2 0.0 0.0 -0.407 -13.011 -0.77 -7.7 c.2.1002
SCORE: -677.813 11.562 -2.073 -30.042 -1.985 -25.236 -1.668 994.563 1513.211 518.648 9.0 0.147 1.212 0.449 -3.688 -1481.258 295.139 3.493 130.547 411.183 -11.924 167.751 0.255 -11.813 -13.099 -19.076 -206.047 5.0 327.0 41.0 109.028 -6.039 0.0 -0.683 3.634 -26.253 -21.2 0.0 0.0 -0.664 -20.579 -0.744 -7.436 c.2.1003
SCORE: -674.057 11.613 -2.061 -28.693 -1.772 -18.867 -1.165 1049.87 1619.243 569.372 10.0 0.147 1.188 0.452 -3.662 -1477.647 300.342 3.283 130.409 408.741 -12.142 166.545 0.301 -10.474 -13.503 -19.19 -206.054 4.0 327.0 43.0 107.98 -5.699 0.0 -0.521 3.142 -26.716 -21.2 0.0 0.0 -0.498 -16.43 -0.597 -5.967 c.2.1004
SCORE: -674.052 11.848 -2.061 -18.593 -1.242 -13.174 -0.88 1001.796 1496.639 494.843 17.0 0.148 1.233 0.445 -3.695 -1472.198 294.062 3.535 130.921 412.255 -12.055 166.469 0.287 -10.812 -12.868 -18.7 -206.115 4.0 327.0 44.0 107.744 -8.988 0.0 -0.829 3.183 -27.417 -21.2 0.0 0.0 -0.856 -29.098 -0.736 -7.361 c.2.1005
SCORE: -666.951 11.909 -2.04 -24.489 -1.613 -7.306 -0.481 971.962 1518.698 546.735 13.0 0.147 1.184 0.45 -3.679 -1484.432 298.004 3.921 130.809 411.97 -11.776 178.001 0.431 -9.013 -13.759 -18.595 -205.944 2.0 327.0 44.0 107.948 -6.382 0.0 -0.474 3.115 -27.72 -21.2 0.0 0.0 -0.364 -12.389 -0.846 -8.46 c.2.1006
SCORE: -675.029 11.667 -2.064 -25.802 -1.744 -16.45 -1.112 859.76 1479.699 619.939 15.0 0.148 1.204 0.441 -3.671 -1475.022 295.355 3.539 130.917 411.905 -11.454 164.478 0.201 -9.886 -12.777 -18.697 -206.113 3.0 327.0 40.0 107.913 -7.209 0.0 -0.652 3.053 -27.953 -21.2 0.0 0.0 -0.52 -15.604 -1.048 -10.475 c.2.1007
SCORE: -671.359 11.765 -2.053 -24.97 -1.666 -14.97 -0.999 1005.216 1498.745 493.529 13.0 0.146 1.196 0.451 -3.678 -1478.119 299.03 3.695 130.761 412.132 -12.214 166.097 0.12 -9.434 -12.808 -19.186 -206.116 2.0 327.0 41.0 108.284 -5.867 0.0 -0.503 3.069 -27.597 -21.2 0.0 0.0 -0.495 -15.359 -0.525 -5.247 c.2.1008
SCORE: -666.713 11.594 -2.039 -23.069 -1.526 -8.474 -0.561 1029.963 1511.586 481.622 13.0 0.147 1.204 0.45 -3.69 -1482.342 301.077 3.707 130.898 414.759 -11.739 171.223 0.168 -8.502 -12.936 -18.806 -206.483 2.0 327.0 43.0 106.997 -6.195 0.0 -0.463 3.099 -28.381 -21.2 0.0 0.0 -0.447 -14.761 -0.514 -5.141 c.2.1009
SCORE: -675.528 11.562 -2.066 -23.019 -1.495 -15.155 -0.984 966.827 1539.408 572.581 15.0 0.146 1.199 0.454 -3.672 -1472.252 295.194 3.662 130.779 411.101 -12.031 163.824 0.194 -9.559 -13.666 -18.71 -206.219 4.0 327.0 40.0 106.872 -6.467 0.0 -0.606 3.621 -28.604 -21.2 0.0 0.0 -0.444 -13.326 -1.09 -10.896 c.2.101
SCORE: -670.071 11.765 -2.049 -24.176 -1.562 -11.232 -0.726 990.115 1547.546 557.431 14.0 0.146 1.213 0.45 -3.691 -1475.619 297.767 3.683 130.772 412.333 -11.763 166.818 0.155 -8.857 -12.81 -19.24 -206.096 2.0 327.0 41.0 107.503 -7.1 0.0 -0.491 3.051 -27.43 -21.2 0.0 0.0 -0.399 -12.374 -0.776 -7.763 c.2.1010
SCORE: -672.638 11.882 -2.057 -23.272 -1.566 -15.836 -1.066 999.814 1485.645 485.831 9.0 0.147 1.172 0.449 -3.662 -1469.873 297.1 3.865 130.763 408.896 -11.887 163.461 0.319 -10.156 -13.676 -19.086 -205.942 3.0 327.0 40.0 107.951 -6.979 0.0 -0.73 3.046 -27.028 -21.2 0.0 0.0 -0.8 -24.01 -0.521 -5.21 c.2.1011
SCORE: -666.062 11.969 -2.037 -18.932 -1.291 -9.323 -0.636 953.11 1466.044 512.935 11.0 0.147 1.217 0.448 -3.69 -1474.337 298.918 3.297 130.791 408.944 -11.857 167.391 0.123 -7.843 -13.422 -18.803 -206.739 1.0 327.0 41.0 108.573 -4.636 0.0 -0.719 3.16 -26.421 -21.2 0.0 0.0 -0.898 -27.844 -0.162 -1.621 c.2.1012
SCORE: -660.969 11.897 -2.021 -15.74 -1.136 -8.327 -0.601 989.717 1385.4 395.683 8.0 0.147 1.184 0.448 -3.653 -1475.291 300.735 3.755 131.262 406.309 -11.509 173.865 0.161 -7.779 -13.0 -17.723 -205.834 2.0 327.0 44.0 107.183 -5.183 0.0 -0.672 2.886 -27.569 -21.2 0.0 0.0 -0.735 -25.005 -0.457 -4.575 c.2.1013
SCORE: -676.821 11.594 -2.07 -26.71 -1.801 -19.95 -1.345 898.548 1483.24 584.692 14.0 0.147 1.171 0.445 -3.659 -1472.459 293.138 3.67 130.426 410.184 -11.538 163.185 0.226 -10.504 -13.369 -17.35 -206.119 4.0 327.0 40.0 107.364 -6.158 0.0 -0.683 3.556 -27.751 -21.2 0.0 0.0 -0.561 -16.844 -1.047 -10.469 c.2.1014
SCORE: -665.377 11.656 -2.035 -26.533 -1.831 -16.47 -1.136 882.471 1449.496 567.025 7.0 0.146 1.181 0.453 -3.671 -1475.594 299.311 3.223 131.349 411.93 -11.717 170.755 0.576 -12.228 -14.341 -18.089 -206.02 7.0 327.0 41.0 108.807 -5.403 0.0 -0.889 3.068 -27.334 -21.2 0.0 0.0 -0.975 -30.214 -0.624 -6.243 c.2.1015
SCORE: -668.71 11.727 -2.045 -25.47 -1.634 -12.351 -0.792 970.698 1558.697 587.999 13.0 0.147 1.218 0.452 -3.679 -1483.016 297.936 3.534 130.796 412.554 -11.867 173.746 0.268 -9.128 -13.769 -18.816 -206.066 3.0 327.0 43.0 108.213 -5.464 0.0 -0.418 3.175 -27.477 -21.2 0.0 0.0 -0.36 -11.868 -0.611 -6.111 c.2.1016
SCORE: -670.412 11.906 -2.05 -22.343 -1.458 -13.549 -0.884 963.244 1532.795 569.551 13.0 0.147 1.215 0.449 -3.676 -1473.375 295.619 3.54 130.862 411.048 -11.645 166.525 0.232 -8.933 -12.848 -18.709 -206.034 4.0 327.0 43.0 108.32 -6.883 0.0 -0.678 3.582 -28.416 -21.2 0.0 0.0 -0.619 -20.442 -0.873 -8.728 c.2.1017
