SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -658.004 13.914 -2.012 -20.708 -1.285 -11.595 -0.72 819.013 1610.92 791.907 4.0 0.147 1.222 0.451 -3.677 -1492.31 305.652 3.337 137.135 410.634 -12.04 187.537 0.678 -14.675 -12.441 -22.866 -207.058 6.0 327.0 55.0 108.483 -4.019 0.0 -1.282 3.065 -25.379 -21.2 0.0 0.0 -1.548 -69.678 -0.086 -0.856 c.14.1
SCORE: -655.188 13.976 -2.004 -14.986 -1.075 -8.981 -0.645 916.383 1393.463 477.08 3.0 0.146 1.216 0.454 -3.673 -1471.891 303.181 3.467 132.857 406.456 -11.538 175.02 0.146 -7.828 -12.526 -18.877 -206.766 2.0 327.0 52.0 108.334 -7.898 0.0 -0.999 2.809 -26.931 -21.2 0.0 0.0 -1.133 -47.567 -0.438 -4.38 c.14.10
SCORE: -640.307 16.114 -1.958 -23.749 -1.482 -4.597 -0.287 920.253 1602.087 681.834 13.0 0.146 1.23 0.456 -3.683 -1504.921 307.414 3.215 143.91 414.76 -11.396 203.715 0.631 -10.119 -14.427 -23.368 -207.086 2.0 327.0 57.0 111.485 -6.698 0.0 -1.698 3.1 -26.84 -21.2 0.0 0.0 -1.993 -93.65 -0.311 -3.113 c.14.11
SCORE: -647.114 13.75 -1.979 -22.235 -1.324 -7.093 -0.422 960.973 1679.759 718.785 14.0 0.146 1.187 0.456 -3.662 -1496.014 312.844 3.217 136.463 413.75 -12.0 191.248 0.731 -11.392 -12.25 -22.507 -206.445 3.0 327.0 53.0 108.49 -5.52 0.0 -1.281 3.077 -27.006 -21.2 0.0 0.0 -1.634 -70.262 0.238 2.376 c.14.12
SCORE: -645.612 13.833 -1.974 -19.427 -1.245 1.048 0.067 800.623 1560.331 759.708 11.0 0.147 1.203 0.454 -3.677 -1500.426 310.022 3.428 138.181 418.136 -11.568 193.481 -5.234 -9.781 -12.364 -23.728 -207.473 4.0 327.0 52.0 110.006 -6.385 0.0 -1.147 2.876 -26.943 -21.2 0.0 0.0 -1.475 -61.96 0.232 2.321 c.14.13
SCORE: -652.5 15.273 -1.995 -30.023 -1.722 -20.979 -1.203 859.285 1743.823 884.537 13.0 0.147 1.199 0.45 -3.654 -1514.91 305.205 3.242 140.893 420.004 -12.356 200.572 0.125 -8.726 -12.442 -22.771 -206.739 3.0 327.0 60.0 107.199 -5.151 0.0 -1.986 3.231 -26.695 -21.2 0.0 0.0 -2.293 -114.644 -0.453 -4.532 c.14.14
SCORE: -644.571 14.692 -1.971 -14.62 -1.075 -10.998 -0.809 733.251 1360.089 626.839 4.0 0.146 1.197 0.454 -3.666 -1489.958 305.554 3.6 136.206 413.194 -12.085 199.217 0.39 -9.438 -14.894 -24.855 -206.492 5.0 327.0 52.0 108.012 -6.945 0.0 -1.357 3.111 -25.729 -21.2 0.0 0.0 -1.644 -69.036 -0.155 -1.547 c.14.15
SCORE: -645.389 13.78 -1.974 -24.377 -1.52 -12.351 -0.77 918.326 1604.198 685.872 13.0 0.146 1.204 0.461 -3.658 -1496.322 302.322 3.709 135.508 415.077 -11.494 200.976 0.341 -11.474 -12.803 -19.424 -205.972 3.0 327.0 59.0 108.014 -5.811 0.0 -1.259 3.377 -28.025 -21.2 0.0 0.0 -1.394 -68.317 -0.597 -5.966 c.14.16
SCORE: -648.57 13.618 -1.983 -18.754 -1.405 -16.119 -1.207 738.679 1335.26 596.581 9.0 0.147 1.22 0.457 -3.678 -1506.94 304.569 3.775 133.711 419.533 -11.568 207.858 0.491 -14.193 -12.468 -23.861 -207.046 8.0 327.0 55.0 111.565 -6.37 0.0 -1.508 3.198 -27.277 -21.2 0.0 0.0 -1.674 -75.328 -0.761 -7.611 c.14.17
SCORE: -634.941 14.212 -1.942 -21.123 -1.48 -1.812 -0.127 777.096 1427.139 650.043 11.0 0.147 1.213 0.456 -3.682 -1499.53 317.549 3.331 138.653 413.111 -11.927 202.295 2.717 -9.149 -12.61 -25.928 -208.8 4.0 327.0 47.0 108.852 -5.279 0.0 -1.217 3.114 -25.555 -21.2 0.0 0.0 -1.559 -57.694 0.048 0.482 c.14.18
