SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -668.478 15.5 -2.044 -22.895 -1.613 -13.79 -0.971 819.704 1419.759 600.055 12.0 0.147 1.195 0.456 -3.668 -1494.918 303.55 3.513 135.419 412.405 -13.194 183.693 0.316 -11.439 -13.161 -20.123 -206.714 5.0 327.0 55.0 107.587 -6.942 0.0 -1.363 2.898 -27.981 -21.2 0.0 0.0 -1.352 -60.836 -1.416 -14.155 c.19.1
SCORE: -608.256 16.512 -1.86 9.733 0.646 29.486 1.957 842.062 1506.845 664.783 27.0 0.151 1.276 0.439 -3.657 -1501.691 302.584 3.399 141.29 410.787 -11.548 239.44 -0.089 -8.746 -14.893 -17.04 -206.662 4.0 327.0 62.0 107.964 -6.17 0.0 -0.986 2.965 -26.943 -21.2 0.0 0.0 -1.5 -77.988 1.685 16.852 c.19.10
SCORE: -576.394 16.805 -1.763 -30.012 -1.996 47.154 3.136 906.402 1503.696 597.293 32.0 0.146 1.201 0.45 -3.651 -1515.38 329.925 3.293 144.472 413.59 -12.186 253.257 -0.114 -8.866 -13.737 -21.099 -206.501 4.0 327.0 70.0 110.759 -6.334 0.0 -0.784 2.938 -27.472 -21.2 0.0 0.0 -0.98 -58.817 0.394 3.94 c.19.100
SCORE: -583.057 14.927 -1.783 -8.308 -0.58 34.197 2.387 918.026 1432.926 514.9 29.0 0.147 1.202 0.457 -3.668 -1510.377 325.838 3.173 136.186 418.494 -12.539 242.062 -0.019 -7.943 -14.785 -17.644 -206.074 1.0 327.0 60.0 113.2 -5.522 0.0 -0.193 3.114 -27.178 -21.2 0.0 0.0 -0.688 -34.402 2.283 22.832 c.19.101
SCORE: -541.746 14.361 -1.657 -11.729 -0.825 73.437 5.163 836.222 1422.5 586.279 23.0 0.147 1.223 0.457 -3.674 -1512.777 329.464 4.94 137.162 416.537 -12.352 277.899 -0.039 -8.045 -12.339 -17.298 -206.834 3.0 327.0 61.0 112.356 -6.102 0.0 0.368 3.114 -24.425 -21.2 0.0 0.0 -0.152 -7.728 3.017 30.168 c.19.102
SCORE: -565.727 15.351 -1.73 -20.051 -1.38 1.07 0.074 903.378 1453.039 549.661 20.0 0.147 1.201 0.451 -3.679 -1521.474 324.391 3.794 135.815 428.314 -12.519 273.614 -2.332 -13.695 -13.345 -20.731 -206.206 3.0 327.0 63.0 109.525 -6.303 0.0 -1.21 3.333 -27.161 -21.2 0.0 0.0 -1.532 -81.184 0.498 4.979 c.19.103
SCORE: -571.148 14.73 -1.747 -7.422 -0.513 41.047 2.838 799.203 1446.273 647.07 25.0 0.145 1.195 0.467 -3.666 -1513.275 338.153 3.326 137.296 420.421 -12.613 243.846 -0.05 -9.527 -12.919 -18.904 -206.511 3.0 327.0 55.0 110.793 -5.123 0.0 -0.181 3.309 -26.361 -21.2 0.0 0.0 -0.625 -28.114 1.816 18.156 c.19.104
SCORE: -575.805 14.972 -1.761 -18.816 -1.433 -1.229 -0.094 763.298 1312.597 549.299 22.0 0.147 1.221 0.457 -3.686 -1502.956 306.119 3.228 134.334 417.585 -12.577 274.263 3.95 -10.136 -13.061 -22.063 -206.751 4.0 327.0 55.0 110.642 -7.79 0.0 -1.331 2.957 -26.537 -21.2 0.0 0.0 -1.477 -66.468 -0.675 -6.75 c.19.105
SCORE: -546.805 14.389 -1.672 -5.186 -0.371 75.204 5.379 832.09 1398.171 566.081 21.0 0.148 1.186 0.444 -3.632 -1509.715 338.386 3.21 135.962 420.724 -13.323 262.311 -0.032 -8.155 -12.454 -20.726 -206.239 4.0 327.0 57.0 113.66 -4.832 0.0 0.148 3.77 -26.329 -21.2 0.0 0.0 -0.52 -24.417 3.287 32.868 c.19.106
SCORE: -492.527 14.973 -1.506 -8.318 -0.608 54.862 4.011 819.939 1367.711 547.772 18.0 0.147 1.193 0.454 -3.666 -1527.361 355.532 3.519 135.619 429.521 -12.039 321.84 -0.105 -12.081 -15.222 -21.104 -206.221 5.0 327.0 57.0 109.35 -6.619 0.0 -0.133 3.355 -27.544 -21.2 0.0 0.0 -0.52 -24.417 1.683 16.832 c.19.107
SCORE: -646.668 15.026 -1.978 -21.541 -1.409 -5.286 -0.346 921.965 1528.359 606.394 17.0 0.147 1.206 0.456 -3.68 -1500.19 301.849 3.324 134.555 412.753 -12.071 207.471 0.321 -9.593 -13.528 -17.342 -206.857 1.0 327.0 58.0 108.152 -7.068 0.0 -1.271 3.021 -28.072 -21.2 0.0 0.0 -1.356 -65.083 -0.866 -8.658 c.19.11
SCORE: -656.542 15.275 -2.008 -24.777 -1.616 -9.321 -0.608 854.005 1533.191 679.186 9.0 0.147 1.208 0.452 -3.681 -1494.434 309.164 3.339 136.803 409.004 -12.585 186.889 0.265 -10.409 -12.526 -18.39 -206.016 2.0 327.0 57.0 107.771 -7.771 0.0 -1.285 3.044 -27.351 -21.2 0.0 0.0 -1.518 -71.338 -0.191 -1.91 c.19.12
SCORE: -630.739 15.088 -1.929 -20.189 -1.53 4.528 0.343 875.532 1319.351 443.819 22.0 0.147 1.191 0.455 -3.664 -1501.8 312.954 3.526 140.627 409.88 -13.391 211.655 -0.365 -8.832 -13.221 -17.733 -207.229 1.0 327.0 58.0 107.584 -7.763 0.0 -1.461 3.178 -27.101 -21.2 0.0 0.0 -1.614 -77.489 -0.726 -7.257 c.19.13
SCORE: -612.124 15.447 -1.872 -23.883 -1.536 20.402 1.312 885.154 1554.47 669.317 31.0 0.147 1.189 0.454 -3.648 -1503.523 307.958 3.474 137.855 411.424 -12.85 231.315 -0.232 -10.753 -12.357 -17.59 -207.748 3.0 327.0 67.0 114.085 -6.956 0.0 -1.136 3.047 -26.445 -21.2 0.0 0.0 -1.303 -74.293 -0.181 -1.811 c.19.14
