SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -651.263 13.194 -1.992 -12.91 -0.901 -13.9 -0.97 906.512 1432.543 526.031 15.0 0.146 1.202 0.454 -3.657 -1483.115 301.785 3.99 130.877 416.765 -11.104 186.874 0.294 -10.614 -13.549 -17.966 -206.99 3.0 327.0 52.0 107.559 -8.491 0.0 -0.943 3.221 -27.45 -21.2 0.0 0.0 -1.031 -43.313 -0.573 -5.734 c.11.13
SCORE: -659.243 14.243 -2.016 -21.285 -1.513 -10.016 -0.712 916.034 1407.102 491.068 10.0 0.146 1.159 0.456 -3.63 -1490.426 305.416 3.965 131.602 418.829 -11.614 180.076 0.635 -13.261 -12.743 -21.262 -205.954 4.0 327.0 57.0 108.911 -5.765 0.0 -1.261 3.252 -27.201 -21.2 0.0 0.0 -1.458 -68.524 -0.337 -3.369 c.11.14
SCORE: -652.054 13.114 -1.994 -13.465 -1.065 -7.079 -0.56 782.075 1264.265 482.19 16.0 0.146 1.19 0.46 -3.66 -1480.125 300.284 3.674 130.805 410.86 -11.92 190.263 0.554 -10.112 -12.959 -18.387 -206.291 3.0 327.0 48.0 107.156 -7.23 0.0 -0.856 3.208 -28.216 -21.2 0.0 0.0 -0.92 -34.964 -0.615 -6.147 c.11.15
SCORE: -653.668 13.486 -1.999 -15.849 -1.191 -6.876 -0.517 828.511 1330.337 501.826 11.0 0.146 1.194 0.46 -3.652 -1493.758 303.352 4.15 132.746 415.681 -11.843 188.905 0.405 -6.545 -13.246 -21.27 -206.573 2.0 327.0 56.0 109.978 -7.675 0.0 -0.968 3.114 -27.633 -21.2 0.0 0.0 -1.016 -46.734 -0.748 -7.477 c.11.16
SCORE: -643.333 12.875 -1.967 -9.67 -0.716 -6.526 -0.483 805.458 1349.783 544.325 10.0 0.146 1.188 0.46 -3.648 -1487.584 300.778 3.862 130.732 407.712 -12.265 204.223 0.597 -8.539 -13.749 -19.23 -206.501 3.0 327.0 45.0 111.268 -6.583 0.0 -0.75 3.211 -27.611 -21.2 0.0 0.0 -0.928 -32.472 -0.127 -1.265 c.11.17
SCORE: -650.277 13.474 -1.989 -15.54 -1.154 -3.111 -0.231 824.671 1347.219 522.548 6.0 0.146 1.208 0.461 -3.678 -1488.595 299.317 3.71 132.051 411.719 -11.706 199.133 0.524 -10.753 -13.105 -17.62 -206.491 1.0 327.0 59.0 108.338 -8.404 0.0 -0.873 3.194 -28.002 -21.2 0.0 0.0 -0.857 -42.015 -0.947 -9.471 c.11.18
SCORE: -654.104 14.405 -2.0 -13.983 -1.02 -11.176 -0.815 902.08 1371.473 469.392 15.0 0.146 1.174 0.456 -3.651 -1486.518 301.29 3.981 131.485 415.462 -11.855 188.629 0.041 -7.882 -13.078 -23.509 -206.598 1.0 327.0 54.0 107.842 -6.838 0.0 -0.943 3.153 -26.596 -21.2 0.0 0.0 -0.998 -43.896 -0.705 -7.051 c.11.19
SCORE: -666.607 13.6 -2.039 -18.151 -1.182 -16.005 -1.042 891.644 1535.31 643.666 10.0 0.146 1.208 0.46 -3.669 -1494.002 298.516 3.834 131.781 421.857 -11.714 177.556 0.165 -12.042 -13.777 -17.947 -206.798 3.0 327.0 53.0 110.489 -7.491 0.0 -1.009 3.213 -27.026 -21.2 0.0 0.0 -1.203 -51.709 -0.179 -1.794 c.11.2
SCORE: -653.451 14.081 -1.998 -21.315 -1.466 -6.295 -0.433 929.955 1454.136 524.181 7.0 0.146 1.21 0.458 -3.678 -1497.428 300.192 4.101 133.703 416.211 -12.446 193.579 -0.0 -8.728 -13.301 -17.358 -206.701 0.0 327.0 62.0 108.698 -6.578 0.0 -0.952 3.179 -27.51 -21.2 0.0 0.0 -1.019 -53.007 -0.603 -6.03 c.11.20
SCORE: -647.87 13.914 -1.981 -17.15 -1.287 -6.598 -0.495 936.928 1332.766 395.838 12.0 0.145 1.209 0.46 -3.676 -1491.586 303.326 3.957 132.175 411.262 -11.478 200.072 -0.0 -8.585 -13.165 -22.307 -206.813 0.0 327.0 55.0 110.482 -7.55 0.0 -0.906 3.181 -27.779 -21.2 0.0 0.0 -0.934 -42.05 -0.776 -7.764 c.11.21
SCORE: -651.546 13.432 -1.992 -17.167 -1.189 -7.04 -0.488 897.898 1443.391 545.493 8.0 0.147 1.184 0.453 -3.635 -1488.24 302.902 4.119 130.692 415.351 -11.575 188.57 0.381 -7.279 -13.656 -19.74 -206.4 2.0 327.0 50.0 108.216 -6.724 0.0 -0.906 3.209 -27.941 -21.2 0.0 0.0 -0.916 -36.628 -0.869 -8.694 c.11.22
SCORE: -638.069 12.969 -1.951 -9.609 -0.726 1.314 0.099 858.752 1323.14 464.388 14.0 0.147 1.195 0.456 -3.648 -1500.178 301.587 4.003 130.826 416.151 -11.301 213.356 -2.337 -9.593 -13.175 -17.359 -206.608 3.0 327.0 53.0 108.303 -6.778 0.0 -0.627 3.304 -27.555 -21.2 0.0 0.0 -0.752 -32.339 -0.089 -0.885 c.11.23
SCORE: -649.921 13.838 -1.988 -17.689 -1.277 -13.84 -0.999 921.607 1385.49 463.883 8.0 0.146 1.18 0.461 -3.648 -1489.998 302.147 4.093 131.954 416.519 -11.959 189.646 0.194 -11.336 -13.205 -16.952 -206.291 2.0 327.0 54.0 110.158 -7.13 0.0 -1.064 3.194 -27.702 -21.2 0.0 0.0 -1.206 -53.047 -0.443 -4.431 c.11.24
SCORE: -650.616 13.324 -1.99 -16.501 -1.212 -4.153 -0.305 860.386 1361.047 500.661 9.0 0.146 1.188 0.459 -3.66 -1490.535 301.113 3.887 131.82 412.82 -11.91 198.177 0.588 -10.201 -13.174 -18.38 -206.489 2.0 327.0 59.0 107.054 -6.803 0.0 -0.86 3.179 -28.106 -21.2 0.0 0.0 -0.899 -44.064 -0.67 -6.701 c.11.25
