SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -678.584 12.333 -2.075 -20.149 -1.26 -18.046 -1.128 994.892 1599.264 604.372 11.0 0.146 1.196 0.455 -3.661 -1480.825 290.799 3.568 131.787 407.736 -12.272 175.98 0.226 -8.276 -14.329 -18.426 -206.052 3.0 327.0 50.0 107.788 -7.212 0.0 -1.028 3.131 -28.917 -21.2 0.0 0.0 -1.079 -43.149 -0.827 -8.265 c.3.1
SCORE: -667.76 13.0 -2.042 -15.014 -0.951 -12.284 -0.778 861.431 1578.677 717.246 9.0 0.146 1.223 0.453 -3.677 -1485.483 295.217 3.452 132.449 411.557 -12.013 180.249 0.204 -9.764 -13.936 -16.806 -206.526 2.0 327.0 51.0 107.896 -6.12 0.0 -1.039 3.376 -28.253 -21.2 0.0 0.0 -1.315 -53.909 0.094 0.936 c.3.10
SCORE: -666.679 11.586 -2.039 -15.312 -1.12 -10.884 -0.796 839.383 1367.197 527.814 11.0 0.147 1.212 0.455 -3.682 -1491.248 298.935 3.815 131.906 417.175 -12.214 181.496 0.37 -10.621 -12.135 -17.524 -206.688 3.0 327.0 40.0 108.401 -9.67 0.0 -0.891 3.187 -28.424 -21.2 0.0 0.0 -0.912 -27.366 -0.826 -8.261 c.3.100
SCORE: -649.118 13.29 -1.985 -16.445 -1.304 -3.296 -0.261 833.797 1261.367 427.57 9.0 0.147 1.23 0.458 -3.688 -1507.875 304.161 4.066 131.218 424.642 -12.072 198.215 0.552 -9.638 -12.821 -17.337 -206.711 1.0 327.0 42.0 107.383 -5.684 0.0 -0.697 3.222 -26.836 -21.2 0.0 0.0 -0.833 -26.67 -0.261 -2.608 c.3.1000
SCORE: -615.427 13.484 -1.882 9.857 0.657 11.858 0.79 924.277 1500.785 576.508 14.0 0.146 1.216 0.458 -3.681 -1494.463 292.438 3.564 131.059 412.31 -12.278 236.558 -0.069 -8.444 -12.624 -15.024 -207.33 1.0 327.0 47.0 110.913 -5.369 0.0 -0.352 3.22 -26.897 -21.2 0.0 0.0 -0.749 -27.702 1.115 11.152 c.3.1001
SCORE: -646.427 13.212 -1.977 -16.659 -1.229 -4.939 -0.364 867.405 1355.979 488.574 9.0 0.147 1.209 0.457 -3.683 -1499.055 302.273 4.116 132.145 423.939 -12.202 193.279 0.293 -9.726 -12.651 -17.253 -206.715 1.0 327.0 44.0 107.921 -6.728 0.0 -0.611 3.158 -25.858 -21.2 0.0 0.0 -0.752 -25.578 -0.131 -1.311 c.3.1002
SCORE: -632.905 13.486 -1.935 -12.229 -0.759 -6.339 -0.394 914.195 1610.585 696.389 12.0 0.146 1.199 0.458 -3.657 -1490.807 297.397 3.723 131.537 416.205 -11.673 214.998 0.812 -10.673 -14.127 -15.284 -207.724 3.0 327.0 51.0 108.015 -7.385 0.0 -1.086 3.361 -27.414 -21.2 0.0 0.0 -1.254 -51.434 -0.394 -3.937 c.3.1003
SCORE: -650.034 13.343 -1.988 -15.511 -1.122 -4.84 -0.35 856.198 1382.621 526.423 8.0 0.148 1.209 0.449 -3.68 -1503.701 302.466 3.545 131.249 425.114 -12.42 194.386 0.102 -8.425 -12.727 -17.494 -206.623 1.0 327.0 43.0 107.739 -6.646 0.0 -0.715 2.87 -26.292 -21.2 0.0 0.0 -0.853 -28.153 -0.259 -2.587 c.3.1004
SCORE: -642.885 13.75 -1.966 -4.441 -0.33 4.993 0.371 851.368 1345.687 494.319 16.0 0.147 1.204 0.456 -3.68 -1507.598 304.292 4.389 131.319 429.364 -12.211 199.794 -0.317 -10.541 -12.785 -17.801 -206.211 2.0 327.0 45.0 108.809 -7.521 0.0 -0.439 3.324 -26.433 -21.2 0.0 0.0 -0.89 -31.152 1.141 11.41 c.3.1005
SCORE: -645.317 12.97 -1.973 -18.992 -1.421 2.259 0.169 865.762 1336.373 470.611 12.0 0.148 1.207 0.449 -3.682 -1508.984 310.362 3.533 131.075 426.793 -12.159 197.459 -1.551 -9.157 -12.896 -18.841 -206.012 4.0 327.0 43.0 107.307 -7.158 0.0 -0.504 3.458 -27.017 -21.2 0.0 0.0 -0.687 -22.658 0.098 0.977 c.3.1006
