SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -683.398 13.861 -2.09 -19.513 -1.374 -18.227 -1.284 872.244 1420.061 547.817 11.0 0.147 1.187 0.455 -3.661 -1469.654 291.726 3.295 131.804 403.082 -12.514 162.935 0.057 -9.977 -12.278 -18.635 -205.896 1.0 327.0 52.0 107.234 -7.24 0.0 -1.403 2.938 -27.149 -21.2 0.0 0.0 -1.523 -63.948 -0.899 -8.994 c.5.1
SCORE: -667.707 13.944 -2.042 -9.786 -0.8 -10.994 -0.898 744.996 1223.935 478.939 3.0 0.147 1.203 0.456 -3.672 -1475.793 292.481 3.437 133.302 404.66 -12.844 182.017 0.099 -8.343 -14.072 -23.253 -207.032 1.0 327.0 52.0 110.364 -6.443 0.0 -0.974 3.085 -26.209 -21.2 0.0 0.0 -1.128 -47.365 -0.326 -3.261 c.5.10
SCORE: -662.509 13.784 -2.026 -23.545 -1.521 -21.635 -1.397 834.832 1548.361 713.529 6.0 0.147 1.205 0.455 -3.674 -1485.759 299.909 3.394 134.085 412.899 -11.633 178.458 0.24 -8.849 -12.524 -21.725 -206.855 4.0 327.0 60.0 108.074 -6.007 0.0 -1.297 3.102 -26.012 -21.2 0.0 0.0 -1.483 -74.164 -0.366 -3.662 c.5.100
SCORE: -636.577 16.108 -1.947 -26.225 -1.74 -3.455 -0.229 872.434 1507.473 635.039 26.0 0.146 1.219 0.458 -3.682 -1501.87 315.798 3.616 136.495 419.864 -12.919 195.546 1.137 -10.129 -12.952 -20.603 -206.689 5.0 327.0 60.0 110.387 -5.906 0.0 -1.315 3.199 -27.353 -21.2 0.0 0.0 -1.606 -80.285 0.14 1.405 c.5.1000
SCORE: -632.76 13.658 -1.935 -16.599 -1.22 -0.42 -0.031 866.126 1360.936 494.81 8.0 0.147 1.216 0.456 -3.677 -1487.879 309.697 3.249 134.015 416.205 -11.677 195.944 -0.0 -6.4 -12.296 -22.144 -207.47 0.0 327.0 57.0 107.929 -5.658 0.0 -0.79 3.118 -26.334 -21.2 0.0 0.0 -0.949 -44.62 -0.041 -0.406 c.5.1001
SCORE: -649.714 13.711 -1.987 -23.482 -1.561 -12.015 -0.799 909.203 1504.427 595.223 19.0 0.146 1.225 0.458 -3.687 -1487.914 308.817 3.634 132.899 418.357 -12.275 179.778 0.233 -7.926 -12.333 -21.15 -205.976 3.0 327.0 58.0 109.236 -7.392 0.0 -1.215 3.186 -27.597 -21.2 0.0 0.0 -1.38 -66.25 -0.424 -4.236 c.5.1002
SCORE: -640.004 15.7 -1.957 -19.809 -1.4 -7.038 -0.498 946.066 1414.702 468.636 22.0 0.146 1.223 0.46 -3.685 -1494.872 309.062 3.296 135.976 413.279 -12.271 191.881 0.095 -7.686 -13.974 -17.77 -206.139 1.0 327.0 58.0 111.969 -5.289 0.0 -1.204 3.073 -27.485 -21.2 0.0 0.0 -1.443 -69.25 -0.057 -0.568 c.5.1003
SCORE: -634.695 15.571 -1.941 -25.319 -1.583 -5.428 -0.339 918.677 1599.832 681.155 20.0 0.147 1.2 0.454 -3.661 -1500.162 315.233 3.407 134.583 418.256 -12.804 203.024 0.781 -10.908 -13.983 -18.733 -206.412 3.0 327.0 63.0 107.488 -6.921 0.0 -1.223 3.155 -26.859 -21.2 0.0 0.0 -1.431 -75.833 -0.119 -1.192 c.5.1004
SCORE: -637.793 15.022 -1.95 -25.545 -1.579 -8.259 -0.511 852.768 1617.326 764.558 14.0 0.147 1.207 0.457 -3.674 -1503.763 306.746 3.359 135.319 418.748 -12.608 208.713 0.492 -10.193 -14.19 -18.741 -207.329 3.0 327.0 60.0 108.004 -5.055 0.0 -1.217 3.148 -26.889 -21.2 0.0 0.0 -1.386 -69.313 -0.368 -3.678 c.5.1005
SCORE: -638.043 13.757 -1.951 -18.681 -1.225 -14.972 -0.982 923.651 1524.642 600.992 15.0 0.147 1.193 0.454 -3.672 -1495.445 305.181 3.38 132.328 419.776 -12.507 203.078 0.143 -9.792 -13.089 -18.277 -205.828 2.0 327.0 55.0 107.921 -7.045 0.0 -1.057 3.268 -27.917 -21.2 0.0 0.0 -1.221 -54.96 -0.318 -3.183 c.5.1006
SCORE: -637.495 13.703 -1.95 -18.438 -1.452 4.806 0.379 802.171 1269.571 467.4 9.0 0.146 1.195 0.454 -3.655 -1498.335 311.493 3.497 132.784 413.951 -12.165 201.899 0.0 -7.579 -13.798 -19.142 -205.782 0.0 327.0 50.0 109.149 -7.072 0.0 -0.756 3.239 -26.575 -21.2 0.0 0.0 -0.757 -30.289 -0.752 -7.524 c.5.1007
SCORE: -644.367 13.794 -1.971 -22.206 -1.737 -10.109 -0.791 758.063 1278.21 520.148 12.0 0.147 1.198 0.457 -3.662 -1489.283 305.039 3.185 133.957 411.338 -12.697 197.328 0.186 -9.996 -12.895 -17.895 -207.209 3.0 327.0 50.0 107.131 -5.908 0.0 -1.359 3.175 -26.578 -21.2 0.0 0.0 -1.611 -64.443 -0.348 -3.483 c.5.1008
