SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -671.69 13.636 -2.054 -15.256 -1.266 -12.404 -1.029 691.643 1204.989 513.347 6.0 0.147 1.187 0.455 -3.655 -1467.128 297.13 3.326 131.044 403.568 -11.847 171.036 0.314 -8.451 -12.441 -23.514 -206.6 3.0 327.0 46.0 107.272 -7.117 0.0 -1.085 2.893 -27.795 -21.2 0.0 0.0 -1.205 -43.367 -0.655 -6.554 c.6.1
SCORE: -655.924 11.931 -2.006 -8.762 -0.771 -3.632 -0.32 615.032 1135.948 520.915 5.0 0.147 1.196 0.449 -3.652 -1468.017 301.601 3.207 131.857 406.961 -12.328 175.588 0.656 -7.694 -13.1 -22.748 -206.785 2.0 327.0 43.0 108.139 -6.84 0.0 -0.662 3.142 -25.846 -21.2 0.0 0.0 -0.749 -24.711 -0.377 -3.771 c.6.10
SCORE: -656.701 13.943 -2.008 -16.247 -1.255 -5.87 -0.454 756.9 1294.098 537.198 5.0 0.146 1.195 0.457 -3.656 -1482.362 305.222 3.476 131.545 406.967 -12.601 183.586 -0.0 -8.401 -13.306 -20.871 -206.617 0.0 327.0 52.0 109.388 -6.57 0.0 -0.729 3.123 -26.224 -21.2 0.0 0.0 -0.855 -35.909 -0.198 -1.977 c.6.11
SCORE: -659.05 13.0 -2.015 -17.401 -1.412 -11.7 -0.95 826.58 1232.21 405.63 4.0 0.147 1.209 0.454 -3.664 -1491.028 300.552 3.59 131.174 414.516 -11.859 188.498 0.068 -9.488 -13.097 -20.766 -206.265 1.0 327.0 45.0 108.058 -6.629 0.0 -0.785 3.136 -26.389 -21.2 0.0 0.0 -0.762 -26.661 -0.868 -8.678 c.6.12
SCORE: -660.831 13.853 -2.021 -15.863 -1.224 -17.409 -1.344 845.776 1295.623 449.846 4.0 0.147 1.227 0.46 -3.682 -1482.4 297.915 3.2 131.61 415.323 -12.063 180.906 0.181 -9.704 -13.261 -22.789 -207.566 3.0 327.0 50.0 109.354 -5.957 0.0 -0.914 3.102 -25.454 -21.2 0.0 0.0 -1.074 -42.941 -0.278 -2.777 c.6.13
SCORE: -654.173 13.794 -2.001 -16.382 -1.267 1.349 0.104 857.795 1292.575 434.78 9.0 0.146 1.226 0.456 -3.673 -1485.669 305.224 3.489 131.739 410.2 -11.789 187.42 -1.409 -9.13 -12.726 -19.73 -206.08 2.0 327.0 48.0 107.807 -7.315 0.0 -0.862 2.955 -27.523 -21.2 0.0 0.0 -1.062 -40.346 -0.102 -1.017 c.6.14
SCORE: -644.022 12.789 -1.969 -16.053 -1.085 -2.032 -0.137 821.637 1479.39 657.753 13.0 0.146 1.226 0.463 -3.692 -1485.501 310.676 3.585 132.459 411.705 -12.185 188.11 1.658 -6.77 -11.987 -22.332 -207.939 3.0 327.0 55.0 108.818 -6.404 0.0 -0.861 3.199 -26.4 -21.2 0.0 0.0 -1.088 -48.956 0.161 1.614 c.6.15
SCORE: -657.751 13.568 -2.011 -15.686 -1.192 -18.127 -1.378 838.377 1315.438 477.061 5.0 0.147 1.23 0.454 -3.686 -1487.551 304.561 3.595 131.863 414.098 -12.045 185.283 0.116 -8.605 -13.124 -22.519 -206.259 2.0 327.0 49.0 107.589 -7.665 0.0 -0.926 3.148 -27.066 -21.2 0.0 0.0 -0.907 -35.39 -0.997 -9.968 c.6.16
SCORE: -653.039 13.629 -1.997 -20.926 -1.537 -11.178 -0.821 864.11 1361.927 497.817 10.0 0.147 1.19 0.459 -3.662 -1479.228 300.007 3.224 131.882 404.119 -12.442 194.901 0.485 -10.91 -12.697 -20.485 -206.636 4.0 327.0 55.0 109.028 -7.133 0.0 -1.036 3.026 -26.627 -21.2 0.0 0.0 -1.191 -53.605 -0.337 -3.373 c.6.17
SCORE: -652.603 13.417 -1.996 -19.395 -1.377 -7.093 -0.504 957.779 1408.672 450.893 9.0 0.146 1.199 0.458 -3.659 -1489.24 307.084 3.773 131.326 417.759 -12.741 185.796 0.322 -7.638 -13.859 -23.086 -205.515 2.0 327.0 47.0 107.183 -6.151 0.0 -0.776 3.301 -27.54 -21.2 0.0 0.0 -0.746 -27.62 -0.883 -8.83 c.6.18
