SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -663.155 12.893 -2.028 -14.99 -1.282 -12.39 -1.06 759.352 1169.198 409.847 2.0 0.148 1.233 0.449 -3.68 -1488.432 299.203 3.935 132.452 412.413 -12.144 180.508 0.082 -10.221 -13.351 -16.392 -207.201 1.0 327.0 42.0 109.376 -6.242 0.0 -1.223 3.444 -27.454 -21.2 0.0 0.0 -1.456 -46.603 -0.476 -4.764 c.18.1
SCORE: -654.349 12.778 -2.001 -14.717 -1.103 -4.879 -0.366 802.3 1334.335 532.035 9.0 0.147 1.202 0.454 -3.671 -1497.662 300.824 4.074 133.984 420.746 -12.26 191.556 0.998 -12.987 -12.396 -16.865 -206.735 4.0 327.0 46.0 108.365 -8.304 0.0 -1.177 3.121 -26.741 -21.2 0.0 0.0 -1.316 -47.389 -0.677 -6.772 c.18.10
SCORE: -653.622 14.25 -1.999 -16.722 -1.057 -4.779 -0.302 956.324 1581.786 625.462 13.0 0.147 1.219 0.455 -3.685 -1493.143 305.409 4.081 134.178 418.214 -12.062 186.143 0.444 -8.809 -13.881 -17.431 -207.065 2.0 327.0 51.0 107.449 -8.974 0.0 -1.254 3.149 -27.817 -21.2 0.0 0.0 -1.376 -56.399 -0.753 -7.533 c.18.11
SCORE: -652.436 13.97 -1.995 -21.409 -1.598 -7.194 -0.537 769.692 1339.342 569.65 9.0 0.147 1.202 0.456 -3.676 -1504.984 303.685 4.096 136.652 425.706 -12.215 194.087 0.808 -12.643 -12.33 -19.382 -206.69 5.0 327.0 47.0 107.477 -8.68 0.0 -1.314 3.344 -27.489 -21.2 0.0 0.0 -1.542 -57.037 -0.471 -4.712 c.18.12
SCORE: -642.418 13.333 -1.965 -17.01 -1.259 2.042 0.151 853.444 1351.31 497.866 6.0 0.147 1.184 0.453 -3.639 -1494.022 313.17 4.372 136.701 412.625 -11.775 193.732 -1.635 -11.403 -12.34 -18.583 -207.525 2.0 327.0 49.0 108.175 -8.461 0.0 -0.954 3.599 -27.631 -21.2 0.0 0.0 -1.013 -39.502 -0.727 -7.268 c.18.13
SCORE: -649.992 14.371 -1.988 -13.601 -1.007 -5.681 -0.421 872.845 1350.61 477.765 10.0 0.147 1.179 0.455 -3.658 -1494.915 302.947 3.975 135.051 416.829 -12.005 188.655 -0.0 -8.636 -12.755 -18.162 -206.434 0.0 327.0 44.0 108.178 -6.747 0.0 -1.01 3.464 -26.36 -21.2 0.0 0.0 -1.267 -43.069 -0.137 -1.373 c.18.14
SCORE: -661.266 13.3 -2.022 -15.98 -1.27 -2.032 -0.162 777.371 1258.101 480.73 5.0 0.147 1.195 0.456 -3.656 -1491.123 303.811 3.781 132.962 412.928 -11.934 185.234 1.772 -11.447 -12.696 -16.405 -206.102 2.0 327.0 48.0 107.254 -9.51 0.0 -1.291 3.411 -28.37 -21.2 0.0 0.0 -1.37 -52.052 -0.991 -9.911 c.18.15
SCORE: -660.022 14.054 -2.018 -16.683 -1.038 -2.383 -0.148 913.931 1607.261 693.33 15.0 0.147 1.221 0.455 -3.687 -1493.814 298.036 3.796 133.657 418.934 -11.953 187.727 1.503 -9.545 -14.036 -18.082 -206.428 3.0 327.0 51.0 107.718 -8.065 0.0 -1.102 3.371 -28.274 -21.2 0.0 0.0 -1.274 -52.249 -0.397 -3.972 c.18.16
SCORE: -657.647 13.906 -2.011 -15.655 -1.258 -7.642 -0.614 750.193 1244.324 494.131 10.0 0.148 1.188 0.45 -3.656 -1494.782 303.438 3.803 133.193 417.79 -12.449 185.4 0.49 -10.893 -12.692 -16.841 -207.063 3.0 327.0 51.0 108.486 -8.674 0.0 -1.23 3.605 -26.896 -21.2 0.0 0.0 -1.397 -57.27 -0.548 -5.478 c.18.17
SCORE: -652.657 14.114 -1.996 -22.158 -1.477 -2.736 -0.182 928.562 1500.033 571.471 9.0 0.147 1.198 0.448 -3.655 -1498.404 308.166 3.836 136.636 416.131 -12.307 189.547 0.908 -9.624 -13.89 -17.953 -206.499 3.0 327.0 51.0 108.316 -8.531 0.0 -1.189 3.406 -28.425 -21.2 0.0 0.0 -1.394 -57.161 -0.349 -3.489 c.18.18
SCORE: -658.733 13.824 -2.014 -13.79 -0.973 -8.655 -0.611 811.924 1416.887 604.963 5.0 0.147 1.222 0.456 -3.68 -1495.498 299.392 3.899 132.554 424.175 -12.441 183.797 0.346 -10.033 -13.19 -18.172 -207.013 3.0 327.0 49.0 108.706 -8.194 0.0 -1.159 3.27 -26.932 -21.2 0.0 0.0 -1.324 -51.624 -0.515 -5.15 c.18.19
SCORE: -658.361 13.2 -2.013 -11.826 -0.923 -6.261 -0.488 791.972 1281.935 489.964 10.0 0.147 1.212 0.456 -3.687 -1492.042 299.097 3.811 134.037 419.199 -12.111 183.942 0.21 -9.969 -12.424 -17.826 -207.084 2.0 327.0 43.0 107.981 -7.713 0.0 -1.188 3.442 -27.628 -21.2 0.0 0.0 -1.433 -47.277 -0.379 -3.786 c.18.2
SCORE: -653.269 12.483 -1.998 -13.014 -1.217 -0.092 -0.009 725.054 1069.377 344.323 6.0 0.147 1.21 0.456 -3.679 -1487.538 302.245 3.715 132.921 411.566 -11.699 190.643 21.7 -6.862 -12.47 -20.053 -206.557 1.0 327.0 41.0 107.357 -8.502 0.0 -1.079 3.144 -28.113 -21.2 0.0 0.0 -1.15 -35.639 -0.862 -8.619 c.18.20
SCORE: -661.21 12.733 -2.022 -16.817 -1.25 -8.138 -0.605 812.088 1345.687 533.599 11.0 0.147 1.171 0.458 -3.644 -1489.263 301.071 4.055 133.332 417.46 -12.879 178.336 0.29 -9.189 -12.39 -19.088 -206.183 2.0 327.0 46.0 108.521 -7.725 0.0 -1.156 3.201 -27.403 -21.2 0.0 0.0 -1.27 -45.725 -0.747 -7.465 c.18.21
SCORE: -649.845 14.056 -1.987 -11.583 -0.801 -0.46 -0.032 815.809 1446.666 630.857 7.0 0.147 1.197 0.455 -3.652 -1495.097 301.591 4.057 133.644 419.753 -12.138 192.882 3.255 -7.743 -13.983 -19.259 -207.562 1.0 327.0 51.0 110.1 -8.708 0.0 -1.063 3.187 -27.516 -21.2 0.0 0.0 -1.329 -54.471 0.024 0.239 c.18.22
SCORE: -652.551 13.529 -1.996 -15.266 -1.197 0.838 0.066 704.018 1274.832 570.814 20.0 0.147 1.206 0.453 -3.674 -1494.255 307.038 3.724 133.35 418.209 -11.862 186.91 -4.739 -9.839 -12.559 -18.361 -206.198 2.0 327.0 45.0 107.253 -8.134 0.0 -1.155 3.398 -28.158 -21.2 0.0 0.0 -1.321 -46.221 -0.576 -5.758 c.18.23
