SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -673.514 11.613 -2.06 -19.115 -1.359 -15.314 -1.088 855.524 1407.032 551.508 7.0 0.146 1.214 0.458 -3.681 -1484.478 294.547 3.412 131.519 413.037 -12.401 177.762 0.272 -8.271 -13.512 -21.339 -206.44 3.0 327.0 50.0 107.575 -6.929 0.0 -1.065 3.167 -28.102 -21.2 0.0 0.0 -1.109 -44.367 -0.888 -8.878 c.9.1
SCORE: -652.695 12.171 -1.996 -13.507 -0.971 -11.665 -0.839 888.125 1391.215 503.09 5.0 0.145 1.192 0.463 -3.658 -1481.669 298.673 3.866 131.303 412.075 -11.13 188.506 0.244 -8.528 -13.755 -17.463 -205.896 2.0 327.0 48.0 108.553 -8.68 0.0 -0.945 3.216 -28.71 -21.2 0.0 0.0 -1.067 -40.559 -0.481 -4.807 c.9.10
SCORE: -648.056 13.235 -1.982 -17.298 -1.242 -5.214 -0.374 791.34 1392.82 601.48 7.0 0.146 1.204 0.455 -3.658 -1491.427 304.918 4.086 131.704 414.609 -11.356 194.635 0.517 -9.547 -13.133 -18.457 -207.1 2.0 327.0 52.0 107.311 -7.452 0.0 -0.733 3.167 -26.962 -21.2 0.0 0.0 -0.736 -30.907 -0.723 -7.231 c.9.100
SCORE: -646.37 12.824 -1.977 -20.298 -1.243 -9.449 -0.578 1028.498 1633.635 605.137 8.0 0.147 1.201 0.455 -3.656 -1496.437 302.947 3.748 131.078 417.923 -11.455 200.04 0.39 -9.853 -13.694 -18.354 -205.889 3.0 327.0 50.0 109.311 -8.68 0.0 -0.677 3.215 -27.216 -21.2 0.0 0.0 -0.69 -27.583 -0.625 -6.255 c.9.1000
SCORE: -649.019 12.909 -1.985 -23.991 -1.69 -22.334 -1.573 914.616 1419.517 504.901 5.0 0.146 1.191 0.457 -3.657 -1499.407 299.15 3.354 130.992 421.298 -11.142 199.841 0.283 -8.222 -15.316 -19.413 -206.64 6.0 327.0 44.0 111.144 -6.84 0.0 -1.056 2.807 -27.564 -21.2 0.0 0.0 -1.169 -39.755 -0.67 -6.704 c.9.1001
SCORE: -651.202 12.6 -1.991 -19.926 -1.323 -13.305 -0.884 907.365 1505.739 598.374 9.0 0.146 1.2 0.457 -3.684 -1500.084 301.098 3.641 130.867 420.184 -11.279 199.937 0.275 -8.21 -15.225 -19.226 -206.0 4.0 327.0 46.0 109.254 -7.87 0.0 -0.898 2.792 -28.0 -21.2 0.0 0.0 -0.963 -34.659 -0.666 -6.658 c.9.1002
SCORE: -645.924 12.75 -1.975 -19.823 -1.267 -10.556 -0.675 904.995 1563.973 658.978 8.0 0.145 0.16 0.452 -0.396 -1501.757 302.687 3.692 130.953 422.145 -11.353 203.348 0.485 -9.169 -15.031 -19.855 -205.961 5.0 327.0 45.0 108.397 -8.725 0.0 -0.771 3.17 -27.626 -21.2 0.0 0.0 -0.759 -26.567 -0.815 -8.149 c.9.1003
SCORE: -641.501 13.59 -1.962 -21.95 -1.406 -11.078 -0.709 945.746 1561.381 615.635 10.0 0.146 1.217 0.461 -3.675 -1499.976 305.937 3.816 135.027 421.487 -11.704 201.472 0.475 -10.751 -14.385 -20.002 -206.081 5.0 327.0 56.0 109.347 -8.108 0.0 -1.161 3.457 -27.986 -21.2 0.0 0.0 -1.293 -59.461 -0.558 -5.582 c.9.1004
SCORE: -647.551 12.771 -1.98 -23.129 -1.534 -10.981 -0.729 934.759 1507.337 572.577 12.0 0.146 1.174 0.461 -3.65 -1497.56 305.047 3.394 131.066 416.294 -11.002 199.426 0.38 -8.898 -13.733 -18.713 -206.578 4.0 327.0 49.0 108.101 -6.551 0.0 -0.788 2.874 -27.647 -21.2 0.0 0.0 -0.782 -30.494 -0.812 -8.116 c.9.1005
SCORE: -641.355 12.147 -1.961 -14.699 -0.941 -8.783 -0.562 926.798 1561.452 634.653 8.0 0.146 1.198 0.46 -3.667 -1483.239 301.031 3.848 130.809 417.807 -11.291 194.569 0.467 -9.551 -13.014 -18.409 -206.546 4.0 327.0 51.0 106.996 -7.267 0.0 -0.604 3.184 -27.217 -21.2 0.0 0.0 -0.675 -27.669 -0.312 -3.123 c.9.1006
