SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -674.847 11.778 -2.064 -18.346 -1.458 -15.453 -1.228 768.654 1258.445 489.791 12.0 0.147 1.17 0.453 -3.637 -1490.471 296.728 3.705 130.747 416.957 -12.159 175.626 0.276 -6.771 -12.933 -19.115 -206.576 3.0 327.0 37.0 107.648 -9.46 0.0 -0.889 3.173 -28.881 -21.2 0.0 0.0 -0.749 -20.219 -1.266 -12.657 c.8.1
SCORE: -670.924 11.429 -2.052 -25.99 -1.919 -14.014 -1.035 754.562 1354.233 599.672 6.0 0.147 1.167 0.453 -3.644 -1500.479 304.333 3.941 131.36 420.591 -12.591 181.489 0.383 -11.336 -11.938 -21.1 -206.6 4.0 327.0 43.0 107.806 -7.892 0.0 -0.959 3.197 -28.629 -21.2 0.0 0.0 -0.864 -28.497 -1.276 -12.756 c.8.10
SCORE: -661.452 11.852 -2.023 -16.906 -1.536 -6.42 -0.583 777.173 1100.991 323.819 5.0 0.147 1.204 0.455 -3.665 -1496.721 301.142 3.688 131.52 420.165 -12.206 186.085 0.205 -9.789 -12.634 -17.433 -206.36 1.0 327.0 38.0 107.196 -8.069 0.0 -1.128 3.397 -28.375 -21.2 0.0 0.0 -1.153 -32.272 -1.06 -10.605 c.8.100
SCORE: -660.468 12.903 -2.02 -14.542 -1.088 -2.173 -0.163 835.411 1337.099 501.688 9.0 0.147 1.211 0.453 -3.686 -1502.574 302.376 4.048 131.942 421.576 -12.022 186.318 -0.0 -7.975 -12.433 -17.274 -206.335 0.0 327.0 43.0 109.607 -9.121 0.0 -0.863 3.177 -28.706 -21.2 0.0 0.0 -0.857 -28.281 -0.883 -8.831 c.8.101
SCORE: -662.164 13.091 -2.025 -15.38 -1.127 -12.23 -0.896 800.683 1364.454 563.771 10.0 0.147 1.227 0.455 -3.687 -1492.293 300.04 4.094 131.43 417.957 -11.956 181.199 0.266 -10.785 -12.529 -16.394 -205.93 3.0 327.0 43.0 107.42 -7.603 0.0 -0.993 3.467 -27.224 -21.2 0.0 0.0 -1.148 -37.889 -0.482 -4.821 c.8.102
SCORE: -662.64 13.229 -2.026 -16.25 -1.158 -13.07 -0.932 876.559 1402.782 526.223 14.0 0.148 1.246 0.452 -3.684 -1492.508 298.453 4.09 130.904 416.845 -11.977 185.596 0.18 -10.072 -13.131 -16.39 -206.336 2.0 327.0 47.0 107.583 -8.637 0.0 -0.97 3.225 -27.246 -21.2 0.0 0.0 -1.065 -39.404 -0.616 -6.164 c.8.103
SCORE: -663.535 12.867 -2.029 -12.737 -1.039 -4.517 -0.368 757.065 1225.888 468.823 7.0 0.147 1.192 0.458 -3.648 -1493.505 300.086 4.061 130.82 418.732 -12.338 182.189 0.143 -8.309 -12.801 -16.395 -207.239 1.0 327.0 41.0 107.897 -8.87 0.0 -0.708 3.25 -28.062 -21.2 0.0 0.0 -0.633 -19.62 -0.941 -9.413 c.8.104
SCORE: -658.575 13.882 -2.014 -14.669 -1.02 -12.79 -0.89 877.628 1437.404 559.776 8.0 0.147 1.2 0.453 -3.66 -1502.828 302.994 4.311 131.956 420.887 -12.594 188.55 0.143 -8.066 -12.914 -18.463 -208.909 2.0 327.0 45.0 108.274 -4.829 0.0 -0.944 3.196 -27.084 -21.2 0.0 0.0 -1.221 -42.722 0.025 0.252 c.8.105
SCORE: -663.023 13.606 -2.028 -16.798 -1.309 -7.436 -0.579 741.877 1283.301 541.423 9.0 0.147 1.236 0.457 -3.694 -1509.496 301.743 3.908 131.447 428.947 -13.03 191.404 0.433 -12.24 -12.598 -19.747 -206.501 2.0 327.0 50.0 107.553 -6.956 0.0 -1.297 3.494 -27.897 -21.2 0.0 0.0 -1.337 -53.47 -1.139 -11.387 c.8.106
SCORE: -661.389 13.324 -2.023 -21.017 -1.518 -11.158 -0.806 939.826 1384.127 444.301 12.0 0.148 1.229 0.451 -3.683 -1498.519 306.941 4.031 133.497 420.902 -12.387 180.096 0.275 -10.1 -13.606 -19.27 -206.441 3.0 327.0 49.0 110.33 -8.634 0.0 -1.019 3.195 -28.369 -21.2 0.0 0.0 -1.106 -43.142 -0.678 -6.783 c.8.107
