SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -663.055 13.19 -2.028 -21.107 -1.275 -10.119 -0.611 1068.656 1655.753 587.097 19.0 0.147 1.218 0.455 -3.683 -1488.921 299.965 3.378 130.988 417.309 -13.282 182.743 0.244 -7.849 -12.213 -20.993 -206.266 2.0 327.0 61.0 108.207 -7.642 0.0 -1.176 3.073 -28.489 -21.2 0.0 0.0 -1.313 -66.97 -0.48 -4.796 c.21.1
SCORE: -611.763 15.356 -1.871 -18.679 -1.18 34.738 2.194 913.111 1583.034 669.923 27.0 0.147 1.205 0.452 -3.68 -1504.762 314.349 3.68 139.179 420.819 -12.953 225.062 -0.101 -12.486 -13.986 -18.437 -207.18 4.0 327.0 61.0 108.833 -6.715 0.0 -0.582 2.945 -27.036 -21.2 0.0 0.0 -0.736 -37.543 0.205 2.049 c.21.10
SCORE: -650.63 13.897 -1.99 -22.533 -1.47 -8.833 -0.576 884.145 1532.794 648.65 17.0 0.147 1.239 0.452 -3.684 -1490.458 308.886 3.387 136.357 410.353 -12.011 186.951 0.265 -7.145 -12.3 -21.58 -206.522 2.0 327.0 63.0 107.145 -7.089 0.0 -1.271 3.106 -26.665 -21.2 0.0 0.0 -1.413 -74.876 -0.522 -5.218 c.21.11
SCORE: -643.689 14.171 -1.968 -21.058 -1.558 1.999 0.148 737.893 1351.977 614.085 9.0 0.147 1.212 0.454 -3.663 -1497.491 313.59 3.637 137.317 421.528 -12.91 189.734 -1.236 -10.183 -12.443 -22.842 -206.282 2.0 327.0 56.0 107.548 -7.373 0.0 -1.216 3.099 -27.566 -21.2 0.0 0.0 -1.398 -64.3 -0.38 -3.801 c.21.12
SCORE: -647.503 14.811 -1.98 -17.373 -1.084 1.258 0.079 985.827 1602.693 616.866 14.0 0.146 1.193 0.456 -3.673 -1497.87 302.368 3.372 135.503 416.287 -11.598 199.017 -1.144 -9.903 -12.161 -18.95 -206.808 1.0 327.0 59.0 107.745 -7.248 0.0 -1.236 3.022 -27.203 -21.2 0.0 0.0 -1.402 -68.679 -0.427 -4.272 c.21.13
SCORE: -644.749 14.703 -1.972 -26.041 -1.597 -12.042 -0.738 984.424 1630.569 646.144 19.0 0.149 1.232 0.44 -3.652 -1501.45 309.278 3.227 141.01 409.659 -12.533 194.998 0.134 -8.671 -12.172 -15.225 -207.007 3.0 327.0 65.0 108.52 -7.267 0.0 -1.624 2.988 -27.073 -21.2 0.0 0.0 -1.92 -105.614 0.008 0.078 c.21.14
SCORE: -636.084 14.548 -1.945 -24.829 -1.461 -7.068 -0.416 956.766 1699.63 742.864 14.0 0.147 1.198 0.456 -3.681 -1498.055 312.933 3.29 137.841 411.123 -12.19 201.943 0.285 -9.592 -12.83 -18.971 -207.586 3.0 327.0 61.0 109.703 -7.184 0.0 -1.157 3.213 -26.641 -21.2 0.0 0.0 -1.44 -73.438 0.287 2.866 c.21.15
SCORE: -603.962 13.75 -1.847 -17.556 -1.077 40.272 2.47 999.447 1630.1 630.653 24.0 0.147 1.214 0.453 -3.676 -1504.98 312.383 3.788 136.721 423.67 -12.351 228.928 -0.078 -9.256 -13.544 -18.31 -206.426 3.0 327.0 73.0 108.452 -5.392 0.0 -0.642 3.102 -27.685 -21.2 0.0 0.0 -0.959 -60.401 1.356 13.56 c.21.16
SCORE: -635.853 14.075 -1.945 -21.106 -1.344 -4.958 -0.316 912.447 1570.846 658.399 12.0 0.147 1.2 0.458 -3.675 -1484.107 307.702 3.503 132.411 407.95 -13.02 204.995 0.583 -12.472 -12.627 -17.767 -206.004 2.0 327.0 56.0 108.589 -7.265 0.0 -1.023 2.911 -27.584 -21.2 0.0 0.0 -1.128 -51.903 -0.539 -5.386 c.21.17
SCORE: -641.665 15.571 -1.962 -16.468 -1.074 -3.856 -0.251 942.598 1533.595 590.997 8.0 0.147 1.203 0.453 -3.673 -1498.725 312.007 3.414 138.328 415.98 -11.982 193.056 0.132 -9.223 -12.853 -21.354 -207.323 1.0 327.0 66.0 108.285 -5.461 0.0 -1.208 3.027 -25.771 -21.2 0.0 0.0 -1.532 -85.813 0.608 6.079 c.21.18
