SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -666.302 13.281 -2.038 -7.038 -0.474 -6.814 -0.459 914.36 1485.535 571.175 10.0 0.146 1.196 0.455 -3.661 -1493.869 292.267 3.409 130.505 414.469 -11.791 195.263 0.723 -10.677 -14.096 -17.453 -207.532 3.0 327.0 49.0 107.172 -6.071 0.0 -1.217 3.144 -27.979 -21.2 0.0 0.0 -1.414 -55.158 -0.447 -4.469 c.4.1
SCORE: -666.497 13.344 -2.038 -12.466 -0.837 -8.615 -0.579 955.865 1488.836 532.971 11.0 0.146 1.188 0.455 -3.655 -1494.404 295.989 3.598 131.011 413.946 -11.796 192.443 0.452 -10.807 -13.981 -17.26 -206.453 2.0 327.0 48.0 106.936 -6.723 0.0 -1.275 3.146 -29.075 -21.2 0.0 0.0 -1.387 -52.724 -0.846 -8.459 c.4.10
SCORE: -669.824 13.548 -2.048 -13.58 -0.994 -10.203 -0.747 882.787 1366.775 483.988 9.0 0.147 1.194 0.455 -3.654 -1495.49 295.144 3.584 130.627 415.263 -11.871 189.811 0.411 -10.737 -14.17 -17.569 -207.51 2.0 327.0 48.0 106.902 -6.622 0.0 -1.311 3.179 -27.31 -21.2 0.0 0.0 -1.522 -57.828 -0.51 -5.097 c.4.100
SCORE: -645.988 13.167 -1.975 -12.229 -0.838 2.689 0.184 919.099 1459.474 540.374 16.0 0.147 1.194 0.452 -3.653 -1511.059 309.254 4.074 134.236 425.25 -12.31 203.075 -0.416 -11.881 -13.578 -17.408 -207.268 1.0 327.0 49.0 107.676 -8.655 0.0 -1.053 3.183 -27.519 -21.2 0.0 0.0 -1.249 -48.707 -0.287 -2.866 c.4.1000
SCORE: -649.037 13.455 -1.985 -20.948 -1.404 -18.357 -1.23 986.688 1492.376 505.688 16.0 0.146 1.186 0.459 -3.653 -1497.87 293.417 3.586 131.534 414.984 -11.84 206.411 -0.0 -8.325 -12.074 -16.017 -207.475 0.0 327.0 53.0 108.42 -6.497 0.0 -1.166 3.154 -27.382 -21.2 0.0 0.0 -1.22 -52.443 -0.934 -9.338 c.4.1001
SCORE: -652.664 13.281 -1.996 -20.909 -1.425 -20.229 -1.379 965.696 1467.069 501.373 15.0 0.146 1.214 0.457 -3.676 -1495.045 291.125 3.319 131.197 413.894 -11.833 203.919 -0.0 -8.309 -12.075 -16.123 -207.361 0.0 327.0 53.0 108.553 -6.819 0.0 -1.188 3.107 -27.154 -21.2 0.0 0.0 -1.245 -53.552 -0.941 -9.413 c.4.1002
SCORE: -641.171 13.6 -1.961 -19.515 -1.368 -16.246 -1.139 904.424 1426.093 521.669 11.0 0.147 1.2 0.452 -3.655 -1499.585 301.518 3.562 131.4 417.545 -11.879 212.364 0.369 -13.167 -13.646 -15.433 -207.578 4.0 327.0 52.0 108.236 -6.435 0.0 -1.123 3.166 -28.18 -21.2 0.0 0.0 -1.183 -49.671 -0.873 -8.735 c.4.1003
SCORE: -656.589 13.0 -2.008 -23.121 -1.489 -11.319 -0.729 941.087 1552.731 611.644 10.0 0.145 1.144 0.451 -3.561 -1497.768 300.415 3.411 132.75 417.875 -11.803 187.882 0.107 -8.253 -13.405 -17.625 -206.871 1.0 327.0 53.0 109.954 -7.009 0.0 -1.325 3.115 -26.236 -21.2 0.0 0.0 -1.696 -72.928 0.269 2.69 c.4.1004
SCORE: -646.508 13.361 -1.977 -27.325 -1.833 -17.516 -1.175 900.146 1490.717 590.571 14.0 0.146 1.21 0.459 -3.681 -1495.3 296.501 3.62 132.585 412.476 -11.617 206.658 0.133 -9.163 -13.526 -15.379 -206.841 2.0 327.0 53.0 108.005 -6.735 0.0 -1.104 3.407 -28.132 -21.2 0.0 0.0 -1.238 -53.237 -0.528 -5.276 c.4.1005
SCORE: -631.064 13.125 -1.93 -4.215 -0.304 -0.778 -0.056 903.794 1386.363 482.569 12.0 0.146 1.191 0.456 -3.655 -1493.384 296.357 3.562 131.043 413.962 -11.805 222.257 2.126 -8.285 -13.993 -16.304 -207.531 1.0 327.0 49.0 107.007 -5.8 0.0 -1.016 3.14 -28.229 -21.2 0.0 0.0 -1.217 -47.448 -0.234 -2.344 c.4.1006
