SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -682.57 14.814 -2.087 -28.362 -1.775 -19.446 -1.217 967.683 1597.501 629.817 12.0 0.147 1.186 0.455 -3.66 -1474.713 294.652 3.583 138.103 396.774 -12.28 169.638 0.205 -9.201 -12.938 -23.032 -205.807 3.0 327.0 60.0 108.439 -7.196 0.0 -1.484 2.907 -28.426 -21.2 0.0 0.0 -1.688 -84.409 -0.464 -4.644 c.1.1
SCORE: -676.631 14.395 -2.069 -20.758 -1.388 -16.166 -1.081 889.305 1495.612 606.307 15.0 0.146 1.172 0.456 -3.65 -1471.767 295.064 3.473 133.531 405.621 -13.149 168.105 0.163 -11.848 -12.849 -19.357 -205.995 2.0 327.0 59.0 108.691 -8.032 0.0 -1.173 2.879 -27.923 -21.2 0.0 0.0 -1.268 -62.136 -0.706 -7.061 c.1.10
SCORE: -672.122 15.079 -2.055 -23.304 -1.73 -16.354 -1.214 795.251 1347.443 552.192 7.0 0.146 1.197 0.462 -3.663 -1478.537 296.564 3.445 133.833 405.896 -13.168 178.64 0.275 -13.508 -13.008 -20.77 -205.873 4.0 327.0 52.0 107.177 -6.05 0.0 -1.265 2.871 -26.579 -21.2 0.0 0.0 -1.596 -67.014 0.126 1.257 c.1.100
SCORE: -646.782 14.615 -1.978 -20.528 -1.41 -2.742 -0.188 842.36 1455.623 613.263 12.0 0.147 1.216 0.453 -3.683 -1483.806 301.791 3.339 130.723 418.811 -11.566 193.523 1.919 -10.052 -14.39 -21.123 -205.527 5.0 327.0 56.0 107.66 -8.909 0.0 -1.013 3.115 -27.306 -21.2 0.0 0.0 -0.987 -45.419 -1.13 -11.296 c.1.1000
SCORE: -636.859 13.833 -1.948 -16.895 -1.231 -5.061 -0.369 759.414 1372.585 613.171 14.0 0.146 1.227 0.457 -3.691 -1482.491 306.158 3.631 131.747 414.54 -12.062 200.616 0.568 -9.59 -13.041 -21.916 -206.61 3.0 327.0 59.0 107.506 -7.116 0.0 -0.941 3.119 -28.29 -21.2 0.0 0.0 -0.974 -47.741 -0.781 -7.805 c.1.1001
SCORE: -632.878 15.7 -1.935 -21.287 -1.465 1.277 0.088 885.737 1452.834 567.098 8.0 0.146 1.226 0.475 -3.646 -1497.279 316.322 3.282 137.22 411.578 -12.093 201.156 -1.742 -9.886 -12.378 -20.218 -206.483 3.0 327.0 63.0 108.342 -5.996 0.0 -1.199 3.472 -26.919 -21.2 0.0 0.0 -1.518 -80.462 0.495 4.95 c.1.1002
SCORE: -651.205 15.444 -1.991 -19.407 -1.373 0.486 0.034 832.55 1413.172 580.623 23.0 0.147 1.201 0.451 -3.68 -1496.542 307.913 3.283 134.607 413.899 -13.278 196.987 -5.919 -10.472 -13.481 -20.149 -206.975 3.0 327.0 59.0 107.511 -7.11 0.0 -1.273 3.07 -27.387 -21.2 0.0 0.0 -1.428 -69.967 -0.515 -5.153 c.1.1003
SCORE: -636.488 14.41 -1.946 -18.034 -1.349 -5.757 -0.431 850.945 1336.643 485.698 13.0 0.147 1.185 0.452 -3.655 -1484.285 310.61 3.495 133.971 415.846 -11.627 187.273 0.499 -10.435 -12.768 -17.506 -207.275 2.0 327.0 66.0 108.321 -5.727 0.0 -0.862 3.105 -26.416 -21.2 0.0 0.0 -1.143 -64.001 0.709 7.092 c.1.1004
SCORE: -644.535 15.051 -1.971 -24.192 -1.532 -10.596 -0.671 987.095 1578.83 591.735 17.0 0.146 1.214 0.457 -3.685 -1492.506 310.627 3.733 135.988 411.344 -13.425 189.978 -0.0 -8.34 -12.926 -17.537 -205.866 0.0 327.0 60.0 108.32 -6.542 0.0 -1.349 3.167 -27.481 -21.2 0.0 0.0 -1.613 -80.653 -0.026 -0.26 c.1.1005
SCORE: -640.807 15.395 -1.96 -18.142 -1.283 -1.898 -0.134 904.934 1413.807 508.872 16.0 0.147 1.192 0.454 -3.652 -1493.279 304.337 3.306 132.973 412.128 -12.183 204.06 0.931 -11.431 -13.158 -17.348 -206.719 1.0 327.0 58.0 110.276 -6.973 0.0 -1.2 2.947 -26.683 -21.2 0.0 0.0 -1.331 -63.869 -0.573 -5.734 c.1.1006
SCORE: -611.406 15.732 -1.87 -22.147 -1.547 31.137 2.175 950.632 1431.457 480.825 22.0 0.147 1.189 0.458 -3.67 -1486.502 307.967 3.586 135.97 407.21 -12.372 224.392 -0.067 -11.643 -12.521 -15.846 -206.03 2.0 327.0 62.0 108.39 -6.664 0.0 -0.906 2.932 -27.198 -21.2 0.0 0.0 -0.977 -50.819 -0.537 -5.369 c.1.1007
SCORE: -653.629 14.711 -1.999 -19.847 -1.405 -12.612 -0.893 786.318 1412.351 626.033 11.0 0.147 1.189 0.45 -3.669 -1493.356 306.227 3.554 134.974 419.906 -11.465 180.111 0.226 -8.13 -13.895 -20.405 -207.516 3.0 327.0 60.0 109.13 -7.179 0.0 -1.431 3.271 -25.772 -21.2 0.0 0.0 -1.655 -82.773 -0.308 -3.081 c.1.1008
SCORE: -640.512 14.667 -1.959 -20.443 -1.296 3.057 0.194 918.572 1577.479 658.906 12.0 0.147 1.184 0.455 -3.654 -1482.388 312.017 4.237 134.462 403.68 -12.929 195.339 -0.336 -11.825 -13.327 -16.97 -205.969 1.0 327.0 64.0 108.493 -7.636 0.0 -0.959 2.972 -27.599 -21.2 0.0 0.0 -1.001 -54.054 -0.735 -7.348 c.1.1009
SCORE: -672.459 16.103 -2.056 -23.068 -1.464 -17.781 -1.128 957.898 1576.074 618.177 15.0 0.147 1.206 0.454 -3.678 -1483.667 296.346 3.475 135.254 407.565 -12.569 178.197 0.254 -11.669 -13.041 -20.836 -206.295 3.0 327.0 60.0 108.707 -6.997 0.0 -1.477 2.864 -26.721 -21.2 0.0 0.0 -1.677 -83.83 -0.481 -4.806 c.1.101
