SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -657.547 12.833 -2.011 -12.06 -0.995 -6.07 -0.501 771.959 1212.452 440.493 7.0 0.147 1.227 0.455 -3.689 -1483.408 300.237 3.607 131.28 415.952 -12.221 181.593 0.178 -7.8 -12.968 -23.378 -206.375 1.0 327.0 45.0 108.946 -6.457 0.0 -0.532 3.079 -26.573 -21.2 0.0 0.0 -0.565 -19.785 -0.414 -4.137 c.16.1
SCORE: -648.749 13.03 -1.984 -16.42 -1.151 -7.329 -0.514 863.001 1426.013 563.012 13.0 0.147 1.206 0.456 -3.666 -1473.475 297.585 3.149 132.489 409.838 -11.013 186.417 0.358 -9.084 -13.542 -19.276 -206.144 2.0 327.0 57.0 108.044 -7.124 0.0 -0.876 3.251 -26.807 -21.2 0.0 0.0 -1.052 -49.423 -0.053 -0.533 c.16.10
SCORE: -641.145 12.484 -1.961 -14.804 -1.216 4.395 0.361 824.455 1217.224 392.768 9.0 0.146 1.202 0.458 -3.667 -1495.245 310.299 3.505 132.578 416.935 -11.674 193.737 0.0 -6.423 -14.297 -20.702 -206.251 0.0 327.0 45.0 109.363 -6.397 0.0 -0.18 3.177 -26.689 -21.2 0.0 0.0 -0.139 -4.87 -0.321 -3.214 c.16.11
SCORE: -641.14 12.514 -1.961 -15.65 -1.265 -6.33 -0.512 816.261 1236.729 420.468 7.0 0.146 1.196 0.455 -3.662 -1495.501 305.867 4.077 131.433 411.037 -11.743 202.783 0.17 -8.905 -13.155 -19.564 -206.406 1.0 327.0 48.0 112.616 -5.905 0.0 -0.715 3.25 -27.96 -21.2 0.0 0.0 -0.858 -32.6 -0.173 -1.735 c.16.12
SCORE: -646.59 13.097 -1.977 -17.169 -1.421 4.754 0.394 764.91 1208.064 443.153 8.0 0.146 1.192 0.455 -3.667 -1487.894 306.221 3.323 132.231 407.529 -12.909 199.067 -0.092 -8.026 -13.232 -21.228 -206.45 1.0 327.0 49.0 108.079 -5.912 0.0 -0.502 3.159 -27.472 -21.2 0.0 0.0 -0.43 -16.782 -0.78 -7.8 c.16.13
SCORE: -651.329 12.8 -1.992 -10.326 -0.829 -11.567 -0.929 793.396 1245.757 452.361 6.0 0.146 1.176 0.456 -3.658 -1476.658 298.287 3.464 130.593 407.643 -12.523 193.376 0.118 -9.056 -12.681 -20.003 -206.555 1.0 327.0 43.0 107.277 -7.124 0.0 -0.912 2.893 -27.183 -21.2 0.0 0.0 -0.971 -32.057 -0.717 -7.173 c.16.14
SCORE: -654.856 12.71 -2.003 -17.334 -1.367 -16.396 -1.293 714.143 1267.869 553.726 5.0 0.147 1.209 0.457 -3.673 -1487.876 301.594 3.553 131.409 407.629 -12.241 196.371 0.227 -11.052 -12.583 -19.754 -206.956 2.0 327.0 46.0 108.031 -6.696 0.0 -0.961 3.119 -26.346 -21.2 0.0 0.0 -1.043 -37.549 -0.666 -6.66 c.16.15
SCORE: -646.43 13.161 -1.977 -18.485 -1.419 -0.184 -0.014 825.225 1302.887 477.662 6.0 0.147 1.217 0.459 -3.681 -1488.896 309.28 3.387 132.052 409.764 -12.334 198.564 8.382 -8.253 -14.756 -23.532 -206.466 1.0 327.0 50.0 107.873 -6.053 0.0 -0.582 3.171 -27.171 -21.2 0.0 0.0 -0.57 -22.819 -0.628 -6.278 c.16.16
SCORE: -632.525 12.433 -1.934 -3.674 -0.274 15.785 1.179 803.627 1338.59 534.963 11.0 0.146 1.185 0.455 -3.659 -1484.382 307.222 4.375 131.967 411.917 -12.104 201.136 0.0 -5.784 -13.158 -21.562 -206.705 0.0 327.0 50.0 108.519 -7.028 0.0 0.055 3.157 -27.019 -21.2 0.0 0.0 -0.024 -0.95 0.371 3.714 c.16.17
SCORE: -642.828 12.71 -1.966 -16.767 -1.215 5.088 0.369 745.175 1379.797 634.623 5.0 0.147 1.181 0.452 -3.642 -1490.527 307.738 3.468 130.837 412.279 -13.392 201.848 0.0 -8.116 -13.579 -20.831 -207.184 0.0 327.0 53.0 109.438 -7.366 0.0 -0.349 3.156 -27.536 -21.2 0.0 0.0 -0.295 -12.674 -0.581 -5.81 c.16.18
