SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -671.813 16.174 -2.054 -23.883 -1.558 -18.622 -1.215 909.554 1532.669 623.115 19.0 0.147 1.211 0.456 -3.683 -1489.586 296.592 3.477 135.925 407.758 -12.528 186.425 0.264 -9.318 -15.493 -22.057 -207.174 3.0 327.0 61.0 108.036 -6.996 0.0 -1.565 3.094 -26.898 -21.2 0.0 0.0 -1.769 -90.194 -0.526 -5.261 c.17.1
SCORE: -610.339 15.81 -1.866 -23.075 -1.574 25.559 1.744 805.445 1465.675 660.23 21.0 0.147 1.207 0.457 -3.676 -1516.642 311.771 3.719 137.023 422.468 -12.22 233.425 -0.103 -8.142 -14.244 -20.212 -208.382 3.0 327.0 64.0 112.179 -5.244 0.0 -1.119 3.165 -25.939 -21.2 0.0 0.0 -1.282 -69.239 -0.236 -2.363 c.17.10
SCORE: -607.075 16.333 -1.856 -25.358 -1.674 26.343 1.739 859.462 1514.857 655.395 34.0 0.147 1.195 0.442 -3.657 -1509.211 309.231 3.608 136.94 419.219 -12.18 233.779 -0.05 -7.01 -13.945 -18.331 -208.109 1.0 327.0 65.0 112.278 -7.071 0.0 -1.142 3.193 -26.395 -21.2 0.0 0.0 -1.265 -69.553 -0.468 -4.677 c.17.11
SCORE: -645.459 16.122 -1.974 -25.672 -1.737 -11.848 -0.802 807.821 1478.119 670.298 22.0 0.145 1.176 0.46 -3.631 -1508.201 310.227 3.372 136.213 418.546 -11.714 193.733 0.208 -9.616 -12.974 -16.993 -207.732 2.0 327.0 64.0 112.187 -6.883 0.0 -1.642 3.331 -25.905 -21.2 0.0 0.0 -1.947 -105.124 0.003 0.029 c.17.12
SCORE: -612.867 16.341 -1.874 -28.416 -1.846 22.369 1.453 856.699 1539.195 682.496 24.0 0.147 1.212 0.453 -3.687 -1509.998 307.494 3.491 137.524 420.058 -12.044 231.888 -0.185 -9.017 -13.239 -19.097 -207.237 4.0 327.0 64.0 111.777 -7.131 0.0 -1.234 3.163 -27.425 -21.2 0.0 0.0 -1.33 -71.821 -0.716 -7.161 c.17.13
SCORE: -632.55 16.512 -1.934 -20.258 -1.347 3.853 0.256 943.347 1503.891 560.543 9.0 0.148 1.232 0.443 -3.684 -1490.696 318.273 3.856 137.323 407.699 -12.347 196.148 -0.94 -9.118 -13.319 -20.21 -206.452 6.0 327.0 63.0 109.061 -6.667 0.0 -1.313 2.847 -25.888 -21.2 0.0 0.0 -1.625 -86.149 0.343 3.43 c.17.14
SCORE: -648.342 15.905 -1.983 -24.681 -1.572 -14.032 -0.893 928.977 1570.481 641.503 29.0 0.147 1.203 0.451 -3.675 -1505.247 308.414 3.402 136.126 419.648 -12.107 194.348 0.197 -9.987 -14.071 -17.121 -206.956 3.0 327.0 64.0 109.964 -7.568 0.0 -1.656 3.073 -27.186 -21.2 0.0 0.0 -1.81 -97.736 -0.828 -8.276 c.17.15
SCORE: -598.903 16.405 -1.832 -18.023 -1.137 35.696 2.252 879.292 1584.842 705.55 20.0 0.147 1.198 0.457 -3.668 -1510.862 307.671 3.681 136.472 420.833 -12.328 247.693 -0.02 -9.124 -12.864 -18.899 -206.644 2.0 327.0 62.0 109.077 -6.072 0.0 -0.901 3.309 -27.778 -21.2 0.0 0.0 -1.026 -53.344 -0.251 -2.514 c.17.16
SCORE: -594.324 16.149 -1.818 -12.835 -0.769 38.02 2.277 908.074 1669.881 761.807 32.0 0.147 1.205 0.453 -3.669 -1517.999 308.751 3.629 137.171 424.535 -12.253 252.798 -0.103 -9.769 -14.57 -17.599 -205.962 6.0 327.0 67.0 110.635 -5.661 0.0 -1.025 3.166 -28.134 -21.2 0.0 0.0 -1.326 -75.597 0.695 6.949 c.17.17
SCORE: -643.902 14.917 -1.969 -23.601 -1.784 -5.243 -0.396 839.219 1322.845 483.626 19.0 0.146 1.202 0.455 -3.661 -1494.962 305.988 3.235 137.33 413.669 -12.512 197.553 0.74 -11.279 -12.575 -20.939 -207.509 3.0 327.0 54.0 110.774 -5.79 0.0 -1.172 3.308 -27.134 -21.2 0.0 0.0 -1.467 -64.535 0.122 1.222 c.17.18
SCORE: -636.201 16.217 -1.946 -23.469 -1.536 -8.877 -0.581 879.057 1527.692 648.635 17.0 0.147 1.214 0.452 -3.682 -1516.021 312.425 3.469 136.894 423.684 -12.295 209.39 0.455 -9.279 -14.141 -23.324 -208.319 4.0 327.0 66.0 113.927 -6.324 0.0 -1.719 3.099 -26.317 -21.2 0.0 0.0 -2.009 -112.508 -0.092 -0.918 c.17.19
SCORE: -617.679 16.4 -1.889 -27.096 -1.828 21.888 1.477 795.077 1482.004 686.927 18.0 0.147 1.21 0.456 -3.671 -1515.078 305.704 3.392 136.451 420.499 -11.71 236.427 -0.176 -11.089 -14.323 -18.57 -208.128 3.0 327.0 65.0 112.254 -7.043 0.0 -1.315 3.218 -26.625 -21.2 0.0 0.0 -1.429 -78.595 -0.689 -6.892 c.17.2
SCORE: -643.555 16.227 -1.968 -19.248 -1.215 -6.943 -0.438 959.917 1583.708 623.79 15.0 0.147 1.231 0.454 -3.675 -1485.26 301.613 3.256 137.638 414.179 -11.74 188.878 0.555 -11.194 -12.835 -18.168 -206.321 3.0 327.0 61.0 107.701 -4.903 0.0 -1.414 3.172 -26.527 -21.2 0.0 0.0 -1.713 -87.365 0.113 1.135 c.17.20
SCORE: -633.092 15.818 -1.936 -15.685 -0.977 4.673 0.291 944.569 1605.743 661.174 29.0 0.146 1.212 0.459 -3.678 -1503.98 307.329 3.561 134.858 422.441 -12.125 204.26 -0.413 -10.678 -12.567 -17.241 -206.84 2.0 327.0 64.0 109.474 -5.702 0.0 -1.47 3.155 -25.978 -21.2 0.0 0.0 -1.76 -95.057 0.1 0.997 c.17.21
