SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -667.241 14.917 -2.04 -21.043 -1.245 -10.974 -0.649 945.641 1690.798 745.158 20.0 0.147 1.206 0.451 -3.67 -1482.254 293.478 3.278 136.131 406.581 -12.393 180.562 0.13 -9.39 -12.18 -17.774 -206.719 2.0 327.0 64.0 107.863 -7.115 0.0 -1.491 2.954 -27.196 -21.2 0.0 0.0 -1.786 -96.423 0.098 0.981 c.10.1
SCORE: -651.504 13.75 -1.992 -20.545 -1.439 -12.405 -0.869 973.917 1427.495 453.578 11.0 0.146 1.216 0.465 -3.678 -1488.952 299.492 3.635 132.358 409.585 -11.987 201.856 0.313 -13.532 -12.422 -19.251 -206.008 3.0 327.0 61.0 107.767 -6.936 0.0 -1.195 3.203 -27.258 -21.2 0.0 0.0 -1.339 -68.31 -0.459 -4.593 c.10.10
SCORE: -651.556 16.045 -1.993 -20.459 -1.235 -8.765 -0.529 962.886 1656.005 693.119 17.0 0.146 1.205 0.456 -3.678 -1491.324 304.696 3.531 136.497 416.147 -13.021 187.48 -0.0 -8.495 -13.911 -20.352 -206.225 0.0 327.0 64.0 107.969 -6.865 0.0 -1.546 3.162 -27.773 -21.2 0.0 0.0 -1.86 -100.428 0.148 1.481 c.10.11
SCORE: -622.59 16.109 -1.904 -26.871 -1.59 13.235 0.783 881.784 1689.69 807.906 27.0 0.147 1.219 0.456 -3.686 -1502.536 302.66 3.464 137.685 419.146 -11.655 222.514 -0.424 -10.497 -13.667 -19.898 -206.559 7.0 327.0 66.0 109.097 -6.428 0.0 -1.29 3.175 -26.025 -21.2 0.0 0.0 -1.533 -85.862 0.07 0.698 c.10.12
SCORE: -645.57 15.116 -1.974 -25.194 -1.517 -1.787 -0.108 908.22 1660.313 752.092 18.0 0.147 1.217 0.452 -3.672 -1482.367 315.223 3.212 136.9 409.072 -12.78 188.604 5.063 -12.869 -14.494 -23.354 -205.874 6.0 327.0 58.0 108.019 -6.422 0.0 -1.165 3.161 -28.545 -21.2 0.0 0.0 -1.43 -68.649 0.107 1.07 c.10.13
SCORE: -647.54 13.878 -1.98 -18.742 -1.302 -6.765 -0.47 887.754 1439.141 551.387 8.0 0.146 1.214 0.462 -3.676 -1489.395 301.421 3.876 132.251 413.977 -11.002 197.536 0.877 -8.749 -13.093 -20.618 -206.433 4.0 327.0 57.0 107.712 -6.957 0.0 -0.911 3.152 -28.163 -21.2 0.0 0.0 -0.993 -46.66 -0.528 -5.279 c.10.14
SCORE: -640.753 15.683 -1.959 -20.215 -1.283 -8.054 -0.511 970.549 1575.299 604.75 16.0 0.148 1.194 0.449 -3.659 -1494.107 301.892 3.334 136.01 419.857 -12.552 204.566 0.917 -9.693 -14.122 -25.431 -207.218 8.0 327.0 62.0 110.409 -6.299 0.0 -1.465 3.194 -27.524 -21.2 0.0 0.0 -1.798 -93.49 0.265 2.647 c.10.15
SCORE: -637.13 15.19 -1.948 -17.679 -1.095 -11.503 -0.713 901.246 1614.214 712.968 9.0 0.146 1.214 0.457 -3.682 -1467.31 294.323 3.263 133.145 409.552 -12.715 198.078 0.51 -11.378 -12.822 -18.043 -206.858 4.0 327.0 61.0 107.922 -6.505 0.0 -1.238 3.127 -27.844 -21.2 0.0 0.0 -1.357 -69.209 -0.629 -6.289 c.10.16
SCORE: -650.817 14.756 -1.99 -28.11 -1.851 -13.882 -0.914 981.994 1518.329 536.335 19.0 0.146 1.197 0.459 -3.668 -1494.87 306.102 3.783 132.621 414.965 -11.317 195.93 0.445 -13.413 -12.593 -19.184 -206.099 3.0 327.0 69.0 110.016 -8.758 0.0 -1.505 3.194 -28.13 -21.2 0.0 0.0 -1.568 -92.497 -1.137 -11.373 c.10.17
SCORE: -643.392 16.63 -1.968 -30.774 -1.803 -15.017 -0.88 961.962 1706.676 744.714 11.0 0.146 1.211 0.45 -3.642 -1500.024 311.413 3.514 141.686 411.053 -11.962 198.265 0.516 -11.501 -14.142 -21.236 -207.626 8.0 327.0 74.0 109.786 -5.891 0.0 -1.889 3.237 -26.928 -21.2 0.0 0.0 -2.198 -140.692 0.092 0.922 c.10.18
SCORE: -652.24 16.186 -1.995 -22.134 -1.467 -13.775 -0.913 816.951 1508.315 691.364 26.0 0.146 1.205 0.458 -3.672 -1504.435 302.886 3.326 137.359 419.366 -12.023 191.905 0.099 -8.057 -13.863 -20.531 -208.257 2.0 327.0 65.0 111.762 -5.961 0.0 -1.813 3.253 -25.908 -21.2 0.0 0.0 -2.049 -112.697 -0.513 -5.126 c.10.19
SCORE: -667.65 14.868 -2.042 -15.759 -1.195 -11.455 -0.869 767.591 1318.523 550.932 8.0 0.148 1.268 0.446 -3.692 -1483.637 299.17 3.314 132.939 406.341 -11.798 182.015 0.299 -9.634 -12.756 -22.089 -206.461 4.0 327.0 53.0 107.433 -5.357 0.0 -1.38 2.872 -26.97 -21.2 0.0 0.0 -1.6 -68.794 -0.436 -4.36 c.10.2
