SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -673.58 15.024 -2.06 -20.688 -1.392 -14.76 -0.993 813.513 1485.945 672.432 15.0 0.147 1.163 0.455 -3.636 -1481.588 295.529 3.476 133.358 406.51 -12.426 176.498 0.25 -7.643 -15.29 -20.472 -206.224 4.0 327.0 58.0 108.3 -6.89 0.0 -1.183 3.121 -26.769 -21.2 0.0 0.0 -1.308 -62.765 -0.585 -5.854 c.7.1
SCORE: -656.736 13.977 -2.008 -18.973 -1.154 -9.658 -0.587 845.994 1644.677 798.683 10.0 0.147 1.192 0.455 -3.659 -1483.535 304.751 3.413 131.502 415.704 -11.599 181.342 0.579 -6.979 -15.228 -22.971 -207.092 4.0 327.0 61.0 107.619 -6.669 0.0 -0.908 3.186 -27.113 -21.2 0.0 0.0 -0.969 -49.412 -0.598 -5.977 c.7.10
SCORE: -635.221 14.744 -1.943 -18.151 -1.235 -6.548 -0.446 822.955 1469.488 646.533 23.0 0.147 1.207 0.45 -3.653 -1487.2 307.471 4.067 133.42 411.215 -12.281 200.319 0.499 -6.802 -13.248 -20.603 -207.052 3.0 327.0 53.0 107.887 -5.861 0.0 -0.894 2.845 -26.35 -21.2 0.0 0.0 -1.008 -43.338 -0.407 -4.069 c.7.100
SCORE: -636.601 13.583 -1.947 -20.205 -1.493 -6.518 -0.481 776.954 1353.737 576.782 6.0 0.148 1.226 0.45 -3.673 -1490.359 317.125 3.723 131.623 416.306 -12.886 201.005 0.558 -12.179 -13.471 -24.022 -206.464 2.0 327.0 55.0 107.166 -7.075 0.0 -0.81 3.246 -27.29 -21.2 0.0 0.0 -0.819 -36.846 -0.773 -7.728 c.7.101
SCORE: -638.336 14.658 -1.952 -18.18 -1.23 3.14 0.212 864.455 1478.543 614.088 20.0 0.146 1.194 0.459 -3.667 -1488.547 306.698 3.153 133.959 407.32 -11.786 205.732 -0.609 -7.579 -13.8 -20.804 -206.688 1.0 327.0 53.0 108.889 -6.837 0.0 -0.976 2.994 -27.971 -21.2 0.0 0.0 -1.155 -49.654 -0.206 -2.057 c.7.102
SCORE: -629.287 14.214 -1.924 -21.156 -1.176 2.098 0.117 1043.673 1798.244 754.57 16.0 0.148 1.183 0.443 -3.651 -1500.823 310.793 3.893 134.848 416.804 -12.571 211.78 -0.608 -6.716 -13.396 -22.023 -205.742 1.0 327.0 62.0 108.228 -6.341 0.0 -0.837 3.18 -28.124 -21.2 0.0 0.0 -0.936 -48.686 -0.323 -3.228 c.7.103
SCORE: -609.395 14.158 -1.864 -19.54 -1.337 25.148 1.721 826.053 1461.154 635.101 14.0 0.146 1.184 0.459 -3.658 -1483.417 302.515 3.85 133.848 404.624 -13.029 232.336 0.0 -8.691 -12.67 -16.464 -206.786 0.0 327.0 55.0 108.366 -7.432 0.0 -0.416 2.939 -26.315 -21.2 0.0 0.0 -0.393 -17.706 -0.517 -5.171 c.7.104
SCORE: -632.909 13.649 -1.936 -20.646 -1.385 0.774 0.052 964.733 1490.455 525.722 18.0 0.146 1.186 0.459 -3.662 -1489.186 311.371 3.865 134.338 410.794 -12.572 196.421 0.0 -8.045 -13.006 -15.479 -206.496 0.0 327.0 62.0 106.992 -5.589 0.0 -0.995 3.181 -26.427 -21.2 0.0 0.0 -1.1 -57.224 -0.448 -4.482 c.7.105
SCORE: -599.73 14.111 -1.834 -18.637 -1.234 29.92 1.981 900.337 1510.23 609.893 15.0 0.147 1.174 0.454 -3.653 -1489.99 310.942 4.027 135.428 407.144 -12.481 236.678 0.0 -8.782 -13.087 -17.487 -206.854 0.0 327.0 56.0 107.627 -6.591 0.0 -0.141 2.925 -26.15 -21.2 0.0 0.0 -0.113 -5.204 -0.269 -2.69 c.7.106
SCORE: -584.184 14.125 -1.786 -22.42 -1.408 37.281 2.342 963.146 1592.191 629.045 28.0 0.147 1.208 0.457 -3.679 -1506.821 319.199 3.746 135.252 425.184 -12.776 244.524 -0.104 -9.571 -12.402 -18.588 -207.077 4.0 327.0 61.0 108.241 -6.438 0.0 -0.447 3.103 -26.692 -21.2 0.0 0.0 -0.614 -31.338 0.408 4.084 c.7.107
SCORE: -640.014 14.791 -1.957 -18.753 -1.16 -10.382 -0.642 929.689 1617.085 687.397 12.0 0.147 1.211 0.456 -3.674 -1510.068 311.253 3.362 133.734 423.041 -12.36 206.75 0.145 -7.988 -12.433 -24.12 -206.241 1.0 327.0 64.0 107.765 -6.317 0.0 -1.338 3.134 -26.466 -21.2 0.0 0.0 -1.56 -84.221 -0.139 -1.389 c.7.108
SCORE: -638.918 13.471 -1.954 -17.739 -1.316 -7.775 -0.577 802.466 1348.285 545.819 11.0 0.148 1.196 0.448 -3.656 -1481.885 308.106 3.291 133.796 405.392 -12.037 199.828 0.571 -12.867 -12.413 -16.888 -207.88 2.0 327.0 58.0 107.683 -6.616 0.0 -1.15 2.91 -26.274 -21.2 0.0 0.0 -1.22 -58.579 -0.81 -8.097 c.7.109
SCORE: -652.17 14.93 -1.994 -20.347 -1.181 -8.431 -0.489 940.913 1723.374 782.461 15.0 0.147 1.184 0.457 -3.65 -1491.912 306.45 3.798 133.816 422.541 -12.108 184.026 0.53 -7.444 -13.948 -24.039 -206.739 4.0 327.0 66.0 107.779 -7.209 0.0 -1.09 3.323 -27.441 -21.2 0.0 0.0 -1.225 -68.594 -0.337 -3.367 c.7.11
SCORE: -636.832 15.175 -1.947 -19.3 -1.207 -5.062 -0.317 925.431 1598.788 673.357 13.0 0.147 1.208 0.456 -3.67 -1485.455 306.284 3.202 137.023 410.866 -12.111 199.268 0.525 -7.913 -12.862 -21.808 -206.717 2.0 327.0 57.0 107.537 -7.201 0.0 -1.257 2.94 -26.825 -21.2 0.0 0.0 -1.549 -72.803 0.116 1.164 c.7.110
