name,n,mean,std,median,q25,q75,min,max,effect_size,p_value_welch,p_value_mw
ROS-1,15003,11.615850363260682,0.6819036794622337,11.62846,11.174865,12.077565,8.58503,14.0978,7.549213131574046,0.0,0.0
APO-GnRH1R,10002,7.389795392921417,0.2931648034761862,7.39261,7.2016800000000005,7.5828375,6.3207,8.89227,,,
